# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# pFa = 193.63774983420345
# pFb = 225.79657147181064
# pF1 = 162.00027388109442
# pF2 = 225.79657147181058
# mu_a = 193.63774983420345
# mu_b = 783.8437210294572
# mu_1 = 193.59774982563616
# mu_2 = 783.8437210294572
# T = 0.0861733
# beta_F_mu = 0.836788
# n = 50
# m3 = 0
# neval = 1000000
# Columns:Delta,emissivity (ergs/cm^3/s),error
4.641810000000000103e-01,2.525761640570197678e+10,9.253384430101245642e+08
9.283620000000000205e-01,3.449349320893122101e+10,1.135963179996195078e+09
1.856719999999999926e+00,6.488525477582958221e+10,2.258870059120019436e+09
3.713449999999999918e+00,1.945026587983995056e+11,6.333534975809907913e+09
7.426890000000000214e+00,1.760635914497890137e+12,5.228795445027207947e+10
1.485379999999999967e+01,5.669970066230889844e+13,1.621428421639227051e+12
2.000000000000000000e+01,3.571826844096518750e+14,9.175995408546111328e+12
4.000000000000000000e+01,4.879032085657945600e+16,1.016746954245935875e+15
5.000000000000000000e+01,2.502691587168670720e+17,4.430993337916711000e+15
7.000000000000000000e+01,3.207026130562245120e+18,4.613655816084172000e+16
8.000000000000000000e+01,8.881173892687271936e+18,1.184852528517929280e+17
9.000000000000000000e+01,2.181954713062400000e+19,2.608581374693751360e+17
1.000000000000000000e+02,4.714390985678206566e+19,5.172803858053907200e+17
