# ma = 106.0
# mb = 750.617670528
# m1 = 0.511
# m2 = 750.617670528
# pFa = 162.00027388109442
# pFb = 225.79657147181064
# pF1 = 193.63707558175307
# pF2 = 225.79657147181058
# mu_a = 193.59774982563616
# mu_b = 783.8437210294572
# mu_1 = 193.63774983420345
# mu_2 = 783.8437210294572
# T = 0.0861733
# beta_F_mu = 0.836788
# n = 50
# m3 = 0
# neval = 1000000
# Columns:Delta,emissivity (ergs/cm^3/s),error
4.641810000000000103e-01,1.414029420375061035e+10,4.888778606210079193e+08
9.283620000000000205e-01,1.081374455170413780e+10,4.053831107150819898e+08
1.856719999999999926e+00,5.476416523487667084e+09,2.070528553145858645e+08
3.713449999999999918e+00,1.337626606567684412e+09,4.720260707023459673e+07
7.426890000000000214e+00,8.370034974501945078e+07,3.193544035447164904e+06
1.485379999999999967e+01,1.439114485951100069e+05,5.407916522943879500e+03
2.000000000000000000e+01,1.602700293498038491e+03,5.860301940140093535e+01
4.000000000000000000e+01,1.702522088072701558e-05,6.598355736851283097e-07
5.000000000000000000e+01,1.334942934344140785e-09,5.131476056121198575e-11
7.000000000000000000e+01,4.112046024855094326e-18,1.490431998382471343e-19
8.000000000000000000e+01,2.037992690474278832e-22,6.702937018310953209e-24
9.000000000000000000e+01,8.406476395448504827e-27,2.876493179572911425e-28
1.000000000000000000e+02,3.535472848414213276e-31,1.308456175802269343e-32
2.000000000000000000e+02,0.000000000000000000e+00,9.999999999999999259e-130
5.000000000000000000e+02,0.000000000000000000e+00,9.999999999999999259e-130
