# beta_F_mu = 0.836788
# ma = 0.511
# mb = 0.511
# m1 = 106.0
# m2 = 0.511
# m3 = 0
# pFa = 193.5970754338753
# pFb = 193.5970754338753
# pF1 = 162.00027388109442
# pF2 = 193.5970754338753
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# neval = 10000000
# n = 10
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-03,9.060186197173863148e-18,2.302051971504139874e-18
3.593813663804625805e-03,1.341768024845062041e-11,1.730728931839977309e-12
1.291549665014883955e-02,7.960497013743038182e-07,6.075380558985220797e-08
4.641588833612779463e-02,2.891491888364803794e-02,1.560632582579451642e-03
1.668100537200059019e-01,8.855562796274840593e+02,2.531780602713113382e+01
5.994842503189409255e-01,2.386784801060755551e+07,3.401267194457519799e+05
1.000000000000000021e-03,1.059525767170780887e-17,3.752055567846064979e-18
3.162277660168379394e-03,2.795772349716405948e-12,4.248915847436948824e-13
1.000000000000000021e-02,7.147197013105814227e-08,7.198858981548268385e-09
3.162277660168379134e-02,1.456455673574288089e-03,8.163863843079807562e-05
1.000000000000000056e-01,1.440652670016917014e+01,5.089648534612106756e-01
3.162277660168379412e-01,1.449326729510653822e+05,2.833692241521628148e+03
1.000000000000000000e+00,1.444439656934447765e+09,1.521775546711784415e+07
3.162277660168379523e+00,1.385058061272155078e+13,6.526053759956061554e+10
1.000000000000000000e+01,2.012434401694496320e+17,7.063046179769928000e+15
3.162277660168379612e+01,2.525551836149028644e+24,3.488862323962643952e+23
1.000000000000000000e+02,3.423557881821601332e+28,3.460632118545667826e+27
