# beta_F_mu = 0.836788
# ma = 0.511
# mb = 0.511
# m1 = 106.0
# m2 = 0.511
# m3 = 0
# pFa = 193.5970754338753
# pFb = 193.5970754338753
# pF1 = 162.00027388109442
# pF2 = 193.5970754338753
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# neval = 1000000
# n = 10
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,3.408304957904439740e-09,1.592859074802492775e-09
2.154434690031883232e-02,5.061369619119714931e-06,1.137861306064510002e-06
4.641588833612777382e-02,1.385401848515522942e-02,2.797723998654634905e-03
1.000000000000000056e-01,7.307154729216366995e+00,1.168659366595361293e+00
2.154434690031883370e-01,4.100068320000505082e+03,4.350425621719240894e+02
4.641588833612777520e-01,2.089724013758613262e+06,1.536244054201610561e+05
1.000000000000000000e+00,1.158682922493524313e+09,6.627715303694026917e+07
2.154434690031882038e+00,6.727115432698321533e+11,2.583855560104470825e+10
4.641588833612777520e+00,2.979182773248953125e+14,6.821200176641746094e+12
1.000000000000000000e+01,1.611361611247241920e+17,5.810586282007090000e+15
2.154434690031882127e+01,3.283454611335165247e+21,5.930856822678857974e+20
4.641588833612777165e+01,1.593081083094216097e+25,2.937740605916610986e+24
1.000000000000000000e+02,4.491317495394541482e+27,8.026528373281595203e+26
1.000000000000000021e-02,7.069137374473377783e-09,2.172097804955288012e-09
2.154434690031883232e-02,1.044553751903731734e-05,2.158256420262609054e-06
4.641588833612777382e-02,8.979097247214840732e-03,1.559971125579999365e-03
1.000000000000000056e-01,5.172551346320259924e+00,6.924877907821286316e-01
2.154434690031883370e-01,4.031371517166315698e+03,4.338912458355466129e+02
4.641588833612777520e-01,2.891350322804745752e+06,2.414682174206600757e+05
1.000000000000000000e+00,1.222008465166283607e+09,6.813858099253433943e+07
2.154434690031882038e+00,6.764605596755437012e+11,2.829046986867037964e+10
4.641588833612777520e+00,2.886764222073470625e+14,6.138497723774664062e+12
1.000000000000000000e+01,1.860165924059382080e+17,1.106413975477080400e+16
2.154434690031882127e+01,1.630755007223592387e+21,3.250562368975882813e+20
4.641588833612777165e+01,1.586564460256500409e+25,3.681818255979582285e+24
1.000000000000000000e+02,4.060227828587625558e+27,6.604688310847553967e+26
