# beta_F_mu = 0.05
# ma = 0.511
# mb = 0.511
# m1 = 106.0
# m2 = 0.511
# m3 = 0
# pFa = 106.13151878684535
# pFb = 106.13151878684535
# pF1 = 5.306637447810645
# pF2 = 106.13151878684535
# mu_a = 106.13274895621288
# mu_b = 106.13274895621288
# mu_1 = 106.13274895621288
# mu_2 = 106.13274895621288
# neval = 1000000
# n = 10
# Columns:n,emissivity (ergs/cm^3/s),error
5.000000000000000278e-02,6.915816787516453003e+31,1.220895153236660772e+31
7.307692307692308098e-02,3.698851773830792147e+31,6.632336630357272592e+30
9.615384615384614531e-02,4.384147022269955928e+31,1.197383805790076042e+31
1.192307692307692235e-01,2.683246742470286537e+31,4.529419992802396356e+30
1.423076923076923017e-01,5.736839847075543128e+31,1.465429749719691687e+31
1.653846153846153799e-01,5.222239294430807039e+31,1.052041007499058526e+31
1.884615384615384581e-01,6.829676321372072517e+31,1.603431602322459128e+31
2.115384615384615086e-01,7.763889943714713867e+31,1.355653996327448067e+31
2.346153846153846145e-01,9.057413264336693182e+31,2.040762474714979422e+31
2.576923076923076650e-01,5.176584498510183431e+31,8.300756645301939976e+30
2.807692307692307709e-01,3.949295430102875106e+31,9.566352700498918667e+30
3.038461538461538214e-01,3.619206836644287765e+31,7.077431530526151644e+30
3.269230769230768718e-01,5.006762362702351742e+31,9.738468074528309133e+30
3.499999999999999778e-01,1.514013845735607931e+32,2.991438078496408862e+31
3.730769230769230282e-01,5.697962802909206544e+31,1.140761827948646498e+31
3.961538461538461342e-01,2.118899844999270978e+31,4.612591958446750420e+30
4.192307692307691847e-01,3.999922969513867238e+31,8.672511759569800681e+30
4.423076923076922351e-01,2.052648934203183930e+32,3.922137374519266111e+31
4.653846153846153411e-01,1.151215122553664980e+32,2.900910652907755525e+31
4.884615384615383915e-01,7.570178878201129940e+31,1.181705303348530359e+31
5.115384615384614975e-01,6.030960094089383479e+31,1.323003388915278682e+31
5.346153846153846034e-01,7.575784373139715080e+31,1.456479234176644792e+31
5.576923076923077094e-01,8.479969687452397391e+31,1.562470084038022848e+31
5.807692307692308153e-01,9.016278538121431088e+31,2.182255148770004630e+31
6.038461538461538103e-01,1.401961765344598216e+32,2.971618661318896552e+31
6.269230769230769162e-01,2.138093633222145086e+32,4.334642937300637009e+31
6.500000000000000222e-01,1.096449879949676837e+32,1.881525936469398967e+31
6.730769230769230171e-01,1.093931401805263074e+32,2.802893257676739955e+31
6.961538461538461231e-01,1.219781600534157139e+32,1.925532060445768632e+31
7.192307692307692291e-01,3.860141346209020603e+32,9.471550225751494079e+31
7.423076923076923350e-01,8.695203321779639811e+31,1.688797611260383461e+31
7.653846153846153300e-01,2.768022582111959677e+32,5.400888285790388512e+31
7.884615384615384359e-01,3.804511563174773354e+32,8.017528608717212617e+31
8.115384615384615419e-01,2.617427417982192856e+32,5.589441785432830215e+31
8.346153846153845368e-01,4.814750066582684296e+32,1.068735134651608198e+32
8.576923076923076428e-01,8.047065732999506796e+32,1.947114132090604226e+32
8.807692307692307487e-01,6.692434606883326115e+32,1.273530135596071106e+32
9.038461538461538547e-01,9.597374567995304805e+32,1.923327878510194360e+32
9.269230769230768496e-01,9.278468354102645257e+32,1.864467027039369924e+32
9.499999999999999556e-01,1.602379640107764841e+33,3.551719434161227200e+32
