# T = 0.0861733
# ma = 0.511
# mb = 0.511
# m1 = 106.0
# m2 = 0.511
# m3 = 0
# pFa = 105.99876829001364
# pFb = 105.99876829001364
# pF1 = 0.0
# pF2 = 105.99876829001364
# mu_a = 106.0
# mu_b = 106.0
# mu_1 = 106.0
# mu_2 = 106.0
# neval = 10000000
# n = 10
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
0.000000000000000000e+00,2.069202908178363927e+06,5.202757869082875914e+03
2.500000000000000139e-02,2.582920199042323977e+06,6.524290800434997436e+03
5.000000000000000278e-02,4.578029767409423366e+06,1.158845942481013481e+04
7.500000000000001110e-02,8.649050377155950293e+06,2.193692819249122113e+04
1.000000000000000056e-01,1.412962983939170279e+07,3.616155221462144254e+04
2.500000000000000000e-01,4.950817682852640748e+07,1.337793133937316015e+05
4.000000000000000222e-01,1.074191886336597800e+08,3.215733849311614758e+05
5.499999999999999334e-01,2.398481918092384636e+08,8.649699742583035259e+05
6.999999999999999556e-01,6.673217972675149441e+08,3.345381502337615471e+06
8.499999999999999778e-01,3.598399173989965439e+09,3.538728562481901050e+07
8.699999999999999956e-01,4.889714901566705704e+09,5.404228260175050795e+07
8.900000000000000133e-01,7.532744676513827324e+09,9.689840837573505938e+07
9.099999999999999201e-01,1.210331161863808441e+10,1.863716221687525213e+08
9.299999999999999378e-01,2.208408572286310196e+10,4.237074799573094249e+08
9.499999999999999556e-01,4.989491710820114136e+10,1.284595148579705000e+09
0.000000000000000000e+00,2.061711680532826576e+06,5.197463177955555693e+03
2.435897435897435917e-02,2.563238153304150794e+06,6.461213255801420019e+03
4.871794871794871834e-02,4.438892842872932553e+06,1.121199534278967622e+04
7.307692307692308098e-02,8.260522787027486600e+06,2.095991418221164713e+04
9.743589743589743668e-02,1.351461468425724655e+07,3.455992353454623662e+04
1.217948717948717924e-01,1.908072029333665594e+07,4.938276903018004668e+04
1.461538461538461620e-01,2.450517433466961980e+07,6.384940469094881701e+04
1.705128205128205177e-01,2.996294824514523149e+07,7.837754641758684011e+04
1.948717948717948734e-01,3.551658020033890009e+07,9.357531764283498342e+04
2.192307692307692291e-01,4.170852971872672439e+07,1.111236092364466604e+05
2.435897435897435848e-01,4.797916928043767065e+07,1.289619661790652026e+05
2.679487179487179405e-01,5.483402113085366786e+07,1.493890995553287794e+05
2.923076923076923239e-01,6.235632905087526888e+07,1.722105509902480990e+05
3.166666666666666519e-01,7.061988773722893000e+07,1.980560900228452228e+05
3.410256410256410353e-01,7.996414940305186808e+07,2.272711527893261809e+05
3.653846153846153633e-01,9.066700390438246727e+07,2.628397349477791577e+05
3.897435897435897467e-01,1.021967564790630639e+08,3.031970909524415038e+05
4.141025641025641302e-01,1.156081626419418305e+08,3.503091982818800607e+05
4.384615384615384581e-01,1.311856680889181346e+08,4.060968475200016983e+05
4.628205128205128416e-01,1.490632365732883513e+08,4.759010388209939119e+05
4.871794871794871695e-01,1.693150178786887825e+08,5.580108196602148237e+05
5.115384615384614975e-01,1.921300012172734439e+08,6.548749544842374744e+05
5.358974358974358809e-01,2.206057959198210537e+08,7.791052338369191857e+05
5.602564102564102644e-01,2.559515445430191457e+08,9.339897379205907928e+05
5.846153846153846478e-01,2.944331400020536184e+08,1.127154550185293192e+06
6.089743589743590313e-01,3.429426545186165571e+08,1.368812968972002389e+06
6.333333333333333037e-01,4.033777256687822938e+08,1.703182656191909453e+06
6.576923076923076872e-01,4.828344622038107514e+08,2.164890428263334557e+06
6.820512820512820706e-01,5.758505422734978199e+08,2.739691078946136404e+06
7.064102564102564541e-01,6.992628049659776688e+08,3.562749141067089979e+06
7.307692307692307265e-01,8.704575125331097841e+08,4.831238622443857603e+06
7.551282051282051100e-01,1.095115991200730085e+09,6.635619829000263475e+06
7.794871794871794934e-01,1.403499554226344347e+09,9.370901557317774743e+06
8.038461538461538769e-01,1.852768596388946056e+09,1.385386262944841199e+07
8.282051282051282604e-01,2.561967343105446339e+09,2.165744665915900469e+07
8.525641025641025328e-01,3.705258113603050232e+09,3.616576449154359102e+07
8.769230769230769162e-01,5.683240611922430038e+09,6.675406756232161075e+07
9.012820512820512997e-01,9.799958854361524582e+09,1.376945338043001592e+08
9.256410256410256832e-01,1.943955513763668442e+10,3.605448598590340614e+08
9.499999999999999556e-01,4.568801920636845398e+10,1.130152691193423748e+09
