# beta_F_mu = 0.35
# ma = 0.511
# mb = 0.511
# m1 = 106.0
# m2 = 0.511
# m3 = 0
# pFa = 113.15607488578952
# pFb = 113.15607488578952
# pF1 = 39.60503004112488
# pF2 = 113.15607488578952
# mu_a = 113.15722868892824
# mu_b = 113.15722868892824
# mu_1 = 113.15722868892824
# mu_2 = 113.15722868892824
# neval = 1000000
# n = 10
# Columns:n,emissivity (ergs/cm^3/s),error
3.499999999999999778e-01,4.103808891168814152e+07,9.348602529998925747e+05
3.706896551724137567e-01,4.422238496852809936e+07,1.055958774646966718e+06
3.913793103448275357e-01,4.845675273728046566e+07,1.143332457515903050e+06
4.120689655172413701e-01,5.765270316063261777e+07,1.393802714714015368e+06
4.327586206896551491e-01,6.379361872289297730e+07,1.584493991243344499e+06
4.534482758620689280e-01,7.062260049185796082e+07,1.815187410028441343e+06
4.741379310344827624e-01,7.749918569967946410e+07,1.975026696701701498e+06
4.948275862068965414e-01,8.192009753158842027e+07,2.119736588502223138e+06
5.155172413793103203e-01,1.004051053615661561e+08,2.745508695735974237e+06
5.362068965517241548e-01,1.054316727183154970e+08,3.086639711014428176e+06
5.568965517241378782e-01,1.229740876574970335e+08,3.574320071275042836e+06
5.775862068965517127e-01,1.413132952282315493e+08,4.189229196497408673e+06
5.982758620689654361e-01,1.606652575651296675e+08,4.999976476997495629e+06
6.189655172413792705e-01,1.822505846134036779e+08,5.779739687077903189e+06
6.396551724137931050e-01,2.110049897967471480e+08,6.770290573743646964e+06
6.603448275862069394e-01,2.415787235593152046e+08,8.162843461597940885e+06
6.810344827586206629e-01,2.599701387446984649e+08,9.296996858242940158e+06
7.017241379310343863e-01,3.035035889376271367e+08,1.087388725236317143e+07
7.224137931034482207e-01,3.488518309213557839e+08,1.258697365583238937e+07
7.431034482758620552e-01,4.592860867785981894e+08,1.957057836220932752e+07
7.637931034482758896e-01,6.128887005476689339e+08,2.910285017068379745e+07
7.844827586206896131e-01,6.111349575012533665e+08,2.824351963037142158e+07
8.051724137931034475e-01,8.507363829084304571e+08,4.614421889177115262e+07
8.258620689655171709e-01,1.467721254672655106e+09,9.941087310341431201e+07
8.465517241379310054e-01,1.436720585192887545e+09,9.488849544097754359e+07
8.672413793103448398e-01,1.730226200516350985e+09,1.203635101876026988e+08
8.879310344827585633e-01,2.781296473712916374e+09,2.251546668008458018e+08
9.086206896551723977e-01,4.934819171018978119e+09,4.714443481515157223e+08
9.293103448275862322e-01,7.679090322193638802e+09,7.581703633570203781e+08
9.499999999999999556e-01,1.379155757095547867e+10,1.481388026857508898e+09
1.000000000000000056e-01,7.229673336255491711e+06,1.459551634960387310e+05
1.277777777777777679e-01,1.048379152129811607e+07,2.243309313071717625e+05
1.555555555555555580e-01,1.305435145819421113e+07,2.773491832161266357e+05
1.833333333333333481e-01,1.630881497493995167e+07,3.506361926042520790e+05
2.111111111111111105e-01,1.960702110361348093e+07,4.133263418547015754e+05
2.388888888888889006e-01,2.280624138764843345e+07,5.079967606416550698e+05
2.666666666666666630e-01,2.765669209730966017e+07,6.199841457305767108e+05
2.944444444444443976e-01,3.123843435404984653e+07,7.014253196558849886e+05
3.222222222222221877e-01,3.629752426424183697e+07,8.349053758463450940e+05
3.499999999999999778e-01,4.206096028235635906e+07,9.687976292540170252e+05
