# ma = 0.511
# mb = 0.511
# m1 = 106.0
# m2 = 0.511
# pFa = 193.5970754338753
# pFb = 193.5970754338753
# pF1 = 162.00027388109442
# pF2 = 193.5970754338753
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# beta_F_mu = 0.836788
# n = 10
# m3 = 0
# neval = 10000000
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,3.676843588865245883e-08,1.163166695075228652e-09
1.000000000000000056e-01,3.810224256407933385e+00,3.772592259328384767e-02
1.000000000000000000e+00,3.764468890699521899e+08,3.320200282960903365e+06
2.154434690031883814e+00,1.715154147264827271e+11,9.309042304727753401e+08
4.641588833612778409e+00,7.897865982022040625e+13,2.483760844250748291e+11
1.000000000000000000e+01,3.596136389972675200e+16,6.088323235728914844e+13
2.154434690031883193e+01,1.676202640352196608e+19,1.480573067614366200e+16
4.641588833612777165e+01,7.873262385944310317e+21,4.053576880046423552e+18
1.000000000000000000e+02,3.532101670600044219e+24,1.380002302936977244e+21
2.154434690031882269e+02,1.544635591203759289e+27,7.100804955769524390e+23
4.641588833612777307e+02,4.436896865973929587e+29,4.036707618654853981e+26
1.000000000000000000e+03,1.610284448515087852e+32,3.967695861187318506e+29
1.000000000000000000e+04,7.024550894616599635e+41,2.450787070274807317e+40
