# ma = 0.511
# mb = 0.511
# m1 = 106.0
# m2 = 0.511
# pFa = 193.5970754338753
# pFb = 193.5970754338753
# pF1 = 162.00027388109442
# pF2 = 193.5970754338753
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# beta_F_mu = 0.836788
# n = 10
# m3 = 0
# neval = 10000000
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,2.368372677578842458e-08,3.481943914627404186e-09
1.000000000000000021e-02,4.767171846371870979e-08,5.756660257043173182e-09
1.000000000000000021e-02,7.164996984109327734e-08,9.358918136737299569e-09
1.000000000000000021e-02,1.148229083620288356e-07,1.767719639554801449e-08
1.000000000000000056e-01,1.274070126460159535e+01,7.784560503352233596e-01
1.000000000000000056e-01,1.312636712733407229e+01,8.261589563811069237e-01
1.000000000000000056e-01,1.451287413614706701e+01,9.047531786959321920e-01
1.000000000000000056e-01,1.452098061817559405e+01,9.322385871683439573e-01
1.160452251451435796e-01,3.904915824278268133e+01,2.241409443616273034e+00
1.160452251451435796e-01,4.666580274496079284e+01,2.787596602866776685e+00
1.160452251451435796e-01,4.670050396877032028e+01,2.830732216764535902e+00
5.386342212277791530e-01,1.060601986727725156e+07,2.933273478487801622e+05
1.000000000000000000e+00,1.403067907712257624e+09,2.638486909266901761e+07
1.000000000000000000e+00,1.408345926499990225e+09,2.723341752101621404e+07
1.000000000000000000e+00,1.416423059850288153e+09,2.771743450404491276e+07
1.000000000000000000e+00,1.447968170284110785e+09,2.779710715604681522e+07
1.160452251451435712e+00,4.712645832139201164e+09,8.227302838171693683e+07
1.160452251451435712e+00,4.716530224922602654e+09,8.274177388690260053e+07
2.500118586652575026e+00,2.161273767607385498e+12,2.340400520117013931e+10
1.000000000000000000e+01,1.972092652141383360e+17,1.195254871475602600e+16
1.000000000000000000e+01,2.795629325834849280e+17,2.315179199408157600e+16
1.000000000000000000e+01,2.887042386827982080e+17,2.684597103863812800e+16
1.000000000000000000e+01,3.440990791125548160e+17,3.718199930106079200e+16
1.160452251451435757e+01,1.781693613526471424e+18,2.535051335854696640e+17
1.160452251451435757e+01,1.848785615861520128e+18,2.837829788387791040e+17
1.160452251451435757e+01,4.474187934282686976e+18,7.448287120471051520e+17
5.386342212277791219e+01,3.494282681126947538e+26,8.123689699235085783e+25
1.000000000000000000e+02,2.394577307238579702e+28,3.652155399449614234e+27
1.000000000000000000e+02,2.947271881662779185e+28,3.999239455147490623e+27
1.000000000000000000e+02,3.044375478692443999e+28,4.229437565987629954e+27
1.000000000000000000e+02,3.532278406727191559e+28,4.892053597355443122e+27
1.160452251451435757e+02,1.007011021788434175e+29,1.730362408355174169e+28
1.160452251451435757e+02,1.437525810287264938e+29,2.919407200063896730e+28
2.500118586652573640e+02,2.782791131707019907e+31,5.402551942610385657e+30
1.000000000000000000e+03,1.578297498020003936e+35,2.695989885459837888e+34
1.000000000000000000e+03,3.288634632383213215e+35,6.356905222343707247e+34
1.000000000000000000e+03,3.877487185210720993e+35,6.510409409647373741e+34
1.000000000000000000e+03,4.117979235489429385e+35,8.736365958540798413e+34
1.160452251451435814e+03,5.038253391356369316e+35,1.328196369164224081e+35
1.160452251451435814e+03,5.635663752589843234e+35,1.457139896854674369e+35
1.160452251451435814e+03,6.962095346378259644e+35,1.850612840369451003e+35
1.000000000000000000e+04,8.449810837251356689e+42,1.727986628097905898e+42
1.000000000000000000e+04,2.235923193647529880e+43,6.256615947952271345e+42
1.000000000000000000e+04,2.759292382635554719e+43,6.259044859070384264e+42
1.000000000000000000e+04,2.959356815392577951e+43,6.726558732723822226e+42
1.160452251451435768e+04,3.314107994451812562e+43,8.958806495275124880e+42
1.160452251451435768e+04,1.231827017792737649e+44,3.704730575696156327e+43
1.160452251451435732e+05,5.572443675951461763e+52,1.254551820405373405e+52
