# ma = 0.511
# mb = 0.511
# m1 = 106.0
# m2 = 0.511
# pFa = 193.5970754338753
# pFb = 193.5970754338753
# pF1 = 162.00027388109442
# pF2 = 193.5970754338753
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# beta_F_mu = 0.836788
# n = 10
# m3 = 0
# neval = 50000000
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,1.744833739160871143e-07,1.733928606901234931e-08
1.000000000000000056e-01,1.334246642872132860e+01,4.181261011232167424e-01
1.000000000000000000e+00,1.448375428105983019e+09,1.249494235237704031e+07
2.154434690031883814e+00,6.618568339629644775e+11,3.148525623296446323e+09
4.641588833612778409e+00,2.939000072372453125e+14,6.830207589451462402e+11
1.000000000000000000e+01,7.297357845144399360e+17,8.490089445939137600e+16
2.154434690031883193e+01,1.376401584853417040e+23,3.388071839709076757e+22
4.641588833612777165e+01,2.917596107499212103e+26,4.985752423612632951e+25
1.000000000000000000e+02,1.044409788742451114e+29,1.648615643256764193e+28
2.154434690031882269e+02,2.446775003237580221e+31,3.002987753776501635e+30
4.641588833612777307e+02,3.253384144724641077e+33,4.532187570129866536e+32
1.000000000000000000e+03,1.623500060194820715e+36,2.911052404356565659e+35
1.000000000000000000e+04,9.068375275310873890e+43,1.483349859717564726e+43
