# ma = 0.511
# mb = 0.511
# m1 = 106.0
# m2 = 0.511
# pFa = 193.5970754338753
# pFb = 193.5970754338753
# pF1 = 162.00027388109442
# pF2 = 193.5970754338753
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# beta_F_mu = 0.836788
# n = 10
# m3 = 0
# neval = 50000000
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,3.508792330349315061e-08,1.508478330906654628e-09
1.000000000000000021e-02,3.567959094429400260e-08,1.596854981821203945e-09
1.000000000000000056e-01,3.748430702622427280e+00,5.193529580177699834e-02
1.000000000000000056e-01,3.750364490234919135e+00,5.220988386293618638e-02
1.000000000000000000e+00,3.747824645327432752e+08,1.454292911495899549e+06
2.154434690031883814e+00,1.729444746979609375e+11,3.970431541848808527e+08
4.641588833612778409e+00,7.905465673910514062e+13,9.918713844329609680e+10
1.000000000000000000e+01,3.594367441600880800e+16,2.306471303466283984e+13
2.154434690031883193e+01,1.676315404825176064e+19,5.569381269368121000e+15
4.641588833612777165e+01,7.881915720498470191e+21,1.495948285742767872e+18
1.000000000000000000e+02,3.534270060004906753e+24,4.976341694326204662e+20
2.154434690031882269e+02,1.545240850983782380e+27,2.575697186758540636e+23
4.641588833612777307e+02,4.438324855633098482e+29,1.483991290150863543e+26
1.000000000000000000e+03,1.613326379287727564e+32,1.555381509635095840e+29
1.000000000000000000e+04,7.951204254739544111e+41,1.355743006261607589e+40
