# ma = 0.511
# mb = 0.511
# m1 = 106.0
# m2 = 0.511
# pFa = 106.13151878684535
# pFb = 106.13151878684535
# pF1 = 5.306637447810645
# pF2 = 106.13151878684535
# mu_a = 106.13274895621288
# mu_b = 106.13274895621288
# mu_1 = 106.13274895621288
# mu_2 = 106.13274895621288
# T = 43.08665
# n = 10
# m3 = 0
# neval = 1000000
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
5.000000000000000278e-02,8.294800563778876537e+31,1.674717694474515582e+31
7.307692307692308098e-02,1.345763023681863441e+32,3.783024453886002296e+31
9.615384615384614531e-02,6.840907366677236210e+31,1.837119160557707855e+31
1.192307692307692235e-01,2.781071717547650432e+31,4.568355410945332940e+30
1.423076923076923017e-01,5.487212218265618848e+31,1.428294852623341588e+31
1.653846153846153799e-01,4.491852436218690841e+31,7.755239396454170337e+30
1.884615384615384581e-01,3.014105538521983227e+31,7.199671410557399933e+30
2.115384615384615086e-01,3.108905801255321656e+31,6.002885115438925863e+30
2.346153846153846145e-01,4.143097926680355202e+31,9.421008199655014862e+30
2.576923076923076650e-01,6.062531710095681325e+31,1.083209112193948915e+31
2.807692307692307709e-01,9.031448504335252282e+31,1.651115318533043870e+31
3.038461538461538214e-01,4.809326181765512802e+31,1.328977963897815214e+31
3.269230769230768718e-01,7.021491811357246245e+31,1.224835494133241223e+31
3.499999999999999778e-01,1.088271436844296785e+32,2.736443420662535727e+31
3.730769230769230282e-01,5.729192928867065694e+31,1.708444312740194410e+31
3.961538461538461342e-01,4.158811785904563092e+31,6.167307410901171047e+30
4.192307692307691847e-01,8.263059062916941077e+31,1.582833115459326419e+31
4.423076923076922351e-01,8.999457195060413802e+31,3.408442617395419197e+31
4.653846153846153411e-01,1.472384492395565384e+32,3.602790023498055516e+31
4.884615384615383915e-01,1.130492492020001942e+32,2.317937753839363318e+31
5.115384615384614975e-01,7.576537967365024431e+31,3.251594936546455695e+31
5.346153846153846034e-01,4.783898205461336882e+31,7.571535076589278449e+30
5.576923076923077094e-01,1.312702401029925054e+32,2.253754265563742516e+31
5.807692307692308153e-01,6.389089280539735995e+31,1.328302812750895363e+31
6.038461538461538103e-01,9.127108714076672123e+31,1.818701335762502584e+31
6.269230769230769162e-01,1.198659222774878561e+32,2.791855090598650321e+31
6.500000000000000222e-01,9.492284388551902641e+31,1.652964132953571463e+31
6.730769230769230171e-01,1.264632176648721459e+32,3.668917383408344630e+31
6.961538461538461231e-01,1.034698018886445437e+32,2.170801337500116865e+31
7.192307692307692291e-01,8.572671264449758421e+31,2.049070767247866955e+31
7.423076923076923350e-01,2.302711671582996407e+32,5.585481557056210603e+31
7.653846153846153300e-01,4.313501036290479430e+32,1.123758116313177868e+32
7.884615384615384359e-01,2.502110157229259074e+32,4.575898786717388366e+31
8.115384615384615419e-01,2.081433914025223436e+32,2.953486599253252863e+31
8.346153846153845368e-01,4.683453612823877036e+32,7.834718012759023625e+31
8.576923076923076428e-01,9.122521178038827828e+32,2.733901273056125828e+32
8.807692307692307487e-01,1.713353208869441817e+33,4.871295791195920267e+32
9.038461538461538547e-01,7.313955607057900842e+32,1.224059168113427096e+32
9.269230769230768496e-01,1.298933454497765465e+33,2.880992264313402712e+32
9.499999999999999556e-01,3.727709045064316870e+33,8.187355591202479965e+32
