# ma = 0.511
# mb = 0.511
# m1 = 106.0
# m2 = 0.511
# pFa = 106.0040687491345
# pFb = 106.0040687491345
# pF1 = 1.0600530039753313
# pF2 = 106.0040687491345
# mu_a = 106.00530039753312
# mu_b = 106.00530039753312
# mu_1 = 106.00530039753312
# mu_2 = 106.00530039753312
# T = 0.0861733
# n = 10
# m3 = 0
# neval = 10000000
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,9.202385370077720145e+05,3.605058378801355957e+03
5.000000000000000278e-02,1.983208602284407476e+06,7.771397361294434631e+03
2.500000000000000000e-01,2.077864250713682547e+07,8.841398390248102078e+04
3.499999999999999778e-01,3.384481090368571132e+07,1.520049663201738731e+05
4.500000000000000111e-01,5.264558421784671396e+07,2.527420511059431301e+05
5.699999999999999512e-01,9.164130605552357435e+07,5.054699439859336708e+05
6.600000000000000311e-01,1.423769233794176280e+08,8.854040990481456975e+05
7.399999999999999911e-01,2.146601190025952458e+08,1.530832727798312437e+06
8.199999999999999512e-01,3.381206936037881970e+08,2.841479148992669769e+06
9.000000000000000222e-01,5.455649606091498137e+08,5.696687165465015918e+06
