# ma = 0.511
# mb = 0.511
# m1 = 106.0
# m2 = 0.511
# pFa = 106.0040687491345
# pFb = 106.0040687491345
# pF1 = 1.0600530039753313
# pF2 = 106.0040687491345
# mu_a = 106.00530039753312
# mu_b = 106.00530039753312
# mu_1 = 106.00530039753312
# mu_2 = 106.00530039753312
# T = 0.0861733
# n = 10
# m3 = 0
# neval = 10000000
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,1.071377761101493612e+06,6.013276197860124739e+03
2.000000000000000042e-02,1.202352683966551442e+06,6.822312524141566428e+03
2.999999999999999889e-02,1.413462009475582978e+06,8.039370925378640095e+03
4.000000000000000083e-02,1.793279458914424991e+06,1.018040372902183481e+04
5.000000000000000278e-02,2.273820618491210975e+06,1.290643286428399733e+04
1.000000000000000056e-01,7.028261035447528586e+06,4.063630831421726907e+04
1.499999999999999944e-01,1.262227421923976950e+07,7.635373344309961249e+04
2.000000000000000111e-01,1.835104861819603667e+07,1.129153423170498427e+05
2.500000000000000000e-01,2.457108819746303931e+07,1.540097498785898206e+05
2.999999999999999889e-01,3.259279198278197646e+07,2.082278579091047868e+05
3.300000000000000155e-01,3.768822981827771664e+07,2.477427333654770337e+05
3.400000000000000244e-01,3.999465038341320306e+07,2.646188819434645702e+05
3.499999999999999778e-01,4.148370163606276363e+07,2.728474030802862835e+05
3.599999999999999867e-01,4.382084226812604815e+07,2.941169111249713460e+05
3.699999999999999956e-01,4.669265929844237864e+07,3.148723773550841142e+05
4.000000000000000222e-01,5.371961947695083171e+07,3.720537871965437080e+05
4.500000000000000111e-01,6.911005898110501468e+07,5.041966734067231882e+05
4.799999999999999822e-01,8.098784087080167234e+07,6.199879632206248352e+05
5.100000000000000089e-01,9.597207799941547215e+07,7.491240353521528887e+05
5.400000000000000355e-01,1.134197911838584691e+08,9.290253455542851007e+05
5.699999999999999512e-01,1.346761657279929519e+08,1.165494532009676564e+06
5.999999999999999778e-01,1.615075683237562478e+08,1.444762133693643613e+06
6.199999999999999956e-01,1.822563055440363586e+08,1.681630591047173133e+06
6.400000000000000133e-01,2.074554368188810647e+08,2.032919489428937901e+06
6.600000000000000311e-01,2.437294766052188277e+08,2.524620591478260234e+06
6.800000000000000488e-01,2.860301602216855884e+08,3.191111087219204288e+06
6.999999999999999556e-01,3.388374150250467062e+08,3.898390045665185899e+06
7.199999999999999734e-01,3.909295080611000061e+08,4.728460576732930727e+06
7.399999999999999911e-01,4.799879381181135178e+08,6.291709644565910101e+06
7.600000000000000089e-01,5.708956795715373755e+08,8.061387613210437819e+06
7.800000000000000266e-01,6.945921591827195883e+08,1.072728937137259357e+07
8.000000000000000444e-01,8.741865439436470270e+08,1.405604089884064719e+07
8.199999999999999512e-01,1.121153337955569983e+09,1.982496415465812013e+07
8.399999999999999689e-01,1.474485430047696352e+09,2.972254795622795448e+07
8.599999999999999867e-01,2.063083266295264482e+09,4.557438279054992646e+07
8.800000000000000044e-01,2.971383966688621521e+09,7.730200972595761716e+07
9.000000000000000222e-01,4.438459010492203712e+09,1.289714638480475247e+08
