# ma = 0.511
# mb = 0.511
# m1 = 106.0
# m2 = 0.511
# pFa = 193.5970754338753
# pFb = 193.5970754338753
# pF1 = 162.00027388109442
# pF2 = 193.5970754338753
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# T = 0.0861733
# beta_F_mu = 0.836788
# n = 10
# neval = 1000000
# Columns:m3,emissivity (ergs/cm^3/s),error
0.000000000000000000e+00,1.369315311144131660e+09,7.796059175035513937e+07
5.000000000000000278e-02,1.240327891277228117e+09,6.402279393993467838e+07
1.000000000000000056e-01,1.253491626773584366e+09,6.635225271390033513e+07
1.500000000000000222e-01,1.331665414094808340e+09,8.542872849428822100e+07
2.000000000000000111e-01,1.050140211083461285e+09,6.596001957043460757e+07
2.154434690031883370e-01,1.145854634802248240e+09,6.229772924102947116e+07
2.500000000000000000e-01,1.066618395955456972e+09,6.541562305294679850e+07
3.000000000000000444e-01,1.142374286349520922e+09,7.595140394385392964e+07
3.500000000000000333e-01,1.113539463208460331e+09,7.120896783002498746e+07
4.000000000000000222e-01,7.912839384004216194e+08,4.781912600157268345e+07
4.500000000000000111e-01,7.740937399600468874e+08,4.834672615888011456e+07
4.641588833612778631e-01,6.377131374682307243e+08,4.222407201544488966e+07
5.000000000000000000e-01,6.544017847316116095e+08,4.077484996954426914e+07
5.500000000000000444e-01,5.455716264296351671e+08,3.887604032217160612e+07
6.000000000000000888e-01,3.900086900107457042e+08,2.440106359989001974e+07
6.500000000000000222e-01,3.831153581563622355e+08,2.614617175349782780e+07
7.000000000000000666e-01,2.770759060927973390e+08,1.851466000000318885e+07
7.500000000000000000e-01,1.704231944305121601e+08,1.160547325196610391e+07
8.000000000000000444e-01,1.544138325132254958e+08,1.020888201547933370e+07
8.500000000000000888e-01,1.262768907896602303e+08,7.575577587761480361e+06
9.000000000000000222e-01,8.553373172243808210e+07,5.174938335693455301e+06
9.500000000000000666e-01,7.037757485300865769e+07,5.014745100181131624e+06
1.000000000000000000e+00,4.432720966145154834e+07,2.705781818244936410e+06
1.250000000000000000e+00,9.233066666259417310e+06,6.063337103920807131e+05
1.500000000000000000e+00,9.314481179322671378e+05,5.652372860803491494e+04
1.750000000000000000e+00,1.178444915921755164e+05,6.995876703031056422e+03
2.000000000000000000e+00,1.157721382984492811e+04,6.111355352527416471e+02
2.154434690031883370e+00,2.822581026897782522e+03,1.833572878426801935e+02
2.250000000000000000e+00,1.215215845435158371e+03,6.852518243970045830e+01
2.500000000000000000e+00,8.274670126228099321e+01,4.585435227882144638e+00
2.750000000000000000e+00,7.673359263751298620e+00,4.962998353026826792e-01
3.000000000000000000e+00,5.407713783075953629e-01,2.980457724355546970e-02
3.250000000000000000e+00,4.033652388780180342e-02,2.290645539306811022e-03
3.500000000000000000e+00,2.893761436065038582e-03,1.507167180529992605e-04
3.750000000000000000e+00,1.733913216736434042e-04,9.847883500111816025e-06
4.000000000000000000e+00,8.869259982770211968e-06,5.462696477680969648e-07
4.250000000000000000e+00,5.706245716464172914e-07,3.503820034938211526e-08
4.500000000000000000e+00,2.262464432328467089e-08,1.518169517956784966e-09
4.641588833612777520e+00,4.332726274552836749e-09,3.538172348572500419e-10
4.750000000000000000e+00,7.757966911855600132e-10,5.364098034683049643e-11
5.000000000000000000e+00,2.690229104360119076e-11,2.300462992016078364e-12
5.250000000000000000e+00,3.120092169450482358e-13,2.972951786628135066e-14
5.500000000000000000e+00,1.242532407668250766e-20,1.799030140885600808e-21
5.750000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
6.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
6.250000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
6.500000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
6.750000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
7.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
7.250000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
7.500000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
7.750000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
8.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
8.250000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
8.500000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
8.750000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
9.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
9.250000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
9.500000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
9.750000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
1.000000000000000000e+01,0.000000000000000000e+00,9.999999999999999259e-130
2.000000000000000000e+01,0.000000000000000000e+00,9.999999999999999259e-130
3.000000000000000000e+01,0.000000000000000000e+00,9.999999999999999259e-130
4.000000000000000000e+01,0.000000000000000000e+00,9.999999999999999259e-130
