# beta_F_mu = 0.836788
# ma = 0.511
# mb = 0.511
# m1 = 106.0
# m2 = 0.511
# m3 = 0
# pFa = 193.5970754338753
# pFb = 193.5970754338753
# pF1 = 162.00027388109442
# pF2 = 193.5970754338753
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# neval = 1000000
# n = 1
# Columns:n,emissivity (ergs/cm^3/s),error
1.000000000000000000e+00,6.715985968991674817e+30,1.276857947541521252e+30
3.000000000000000000e+00,1.252444659416852834e+32,2.037350778535016975e+31
5.000000000000000000e+00,3.152979505444560336e+32,5.970425593066796633e+31
7.000000000000000000e+00,3.774621827684707858e+32,7.814403529345107983e+31
9.000000000000000000e+00,2.348059287335985368e+32,3.759578363907909278e+31
1.100000000000000000e+01,3.225706220291627693e+32,6.127078530830741250e+31
1.300000000000000000e+01,4.430810561011248672e+32,1.123121171819317137e+32
1.500000000000000000e+01,2.957301408423817450e+32,6.827478197319161659e+31
1.700000000000000000e+01,4.438832895694267086e+32,1.182913392593338396e+32
1.900000000000000000e+01,4.871318942534639331e+32,9.623180560288012666e+31
2.100000000000000000e+01,3.904720733558605694e+32,7.988293154948532474e+31
2.300000000000000000e+01,2.629261291899477403e+32,6.020263631168243378e+31
2.500000000000000000e+01,1.243299721131785002e+32,2.585174783999219760e+31
2.700000000000000000e+01,1.933896168232334697e+32,4.999744625381080141e+31
2.900000000000000000e+01,6.788151509395154362e+31,2.050323199109645777e+31
