# beta_F_mu = 0.836788
# ma = 0.511
# mb = 0.511
# m1 = 106.0
# m2 = 0.511
# m3 = 0
# pFa = 193.5970754338753
# pFb = 193.5970754338753
# pF1 = 162.00027388109442
# pF2 = 193.5970754338753
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# neval = 1000000
# n = 1
# Columns:n,emissivity (ergs/cm^3/s),error
1.000000000000000000e+00,2.076017856447803974e+07,8.742411070181062678e+05
3.000000000000000000e+00,3.670155250439521074e+08,1.492962323135717213e+07
5.000000000000000000e+00,8.991482900968395472e+08,4.482566142087497562e+07
7.000000000000000000e+00,1.134985512751352072e+09,5.348238023632693291e+07
9.000000000000000000e+00,1.268106982763705254e+09,6.583858793212585896e+07
1.100000000000000000e+01,1.348264832551901817e+09,7.771765363299664855e+07
1.300000000000000000e+01,1.271458054071836710e+09,8.630765164277724922e+07
1.500000000000000000e+01,1.138683822838668823e+09,7.747103251061284542e+07
1.700000000000000000e+01,1.121917191509818316e+09,7.653518519285590947e+07
1.900000000000000000e+01,1.415232872106030464e+09,1.001382082833874375e+08
2.100000000000000000e+01,1.164988446584929943e+09,9.941456448406757414e+07
2.300000000000000000e+01,1.242492541718960762e+09,1.080638075465863496e+08
2.500000000000000000e+01,1.012500272010362148e+09,7.002406396737545729e+07
2.700000000000000000e+01,1.338375771368898153e+09,1.492656288374052644e+08
2.900000000000000000e+01,9.071484389931771755e+08,6.589298903593542427e+07
