# T = 0.0861733
# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# pFa = 106.13151878684535
# pFb = 106.13594090297826
# pF1 = 5.306637447810645
# pF2 = 106.1359409029783
# mu_a = 106.13274895621288
# mu_b = 758.08424680918
# mu_1 = 106.13274895621288
# mu_2 = 758.08424680918
# neval = 10000000
# Columns:n,emissivity (ergs/cm^3/s),error
5.000000000000000278e-02,9.265163531336918640e+10,9.923190640847963095e+07
9.736842105263157632e-02,2.698559178628217163e+11,2.942904602393820286e+08
1.447368421052631637e-01,4.754297923683017578e+11,5.356816855903131962e+08
1.921052631578947234e-01,6.686798800461660156e+11,7.728604562811424732e+08
2.394736842105262831e-01,8.677188562727205811e+11,1.029012617447400212e+09
2.868421052631578427e-01,1.084147548710108276e+12,1.349991323186625481e+09
3.342105263157894579e-01,1.322198654252010254e+12,1.734719365660345078e+09
3.815789473684210176e-01,1.587458950887694336e+12,2.207156869757814407e+09
4.289473684210525772e-01,1.896550088914639160e+12,2.870712161744409561e+09
4.763157894736841369e-01,2.256558483862625488e+12,3.723074491513463497e+09
5.236842105263157521e-01,2.702724188654427734e+12,5.019223477639021873e+09
5.710526315789473673e-01,3.241754543427272949e+12,6.893234574025325775e+09
6.184210526315789824e-01,3.955048872752061523e+12,9.707871712934095383e+09
6.657894736842104866e-01,4.888323678219114258e+12,1.429635363190795708e+10
7.131578947368421018e-01,6.229419068135164062e+12,2.293376279891436005e+10
7.605263157894736059e-01,8.244288487871102539e+12,3.897861009703417969e+10
8.078947368421052211e-01,1.151277567856580859e+13,7.408369928912524414e+10
8.552631578947368363e-01,1.817586358823529297e+13,1.729062527669267883e+11
9.026315789473683404e-01,3.405691184502685156e+13,5.376756038519639282e+11
9.499999999999999556e-01,1.010308575426382812e+14,3.112059105273895996e+12
5.000000000000000278e-02,9.281300204402020264e+10,9.948509470407401025e+07
9.615384615384614531e-02,2.651367224749746094e+11,2.891082818897023797e+08
1.423076923076923017e-01,4.650875223971439819e+11,5.218650719102380872e+08
1.884615384615384581e-01,6.548681812424611816e+11,7.530198597240508795e+08
2.346153846153846145e-01,8.466932181502971191e+11,1.004590596084503889e+09
5.000000000000000278e-02,9.265616993535339355e+10,9.912944264568695426e+07
9.615384615384614531e-02,2.648976331304803162e+11,2.876563290125808716e+08
1.423076923076923017e-01,4.653574809016350098e+11,5.228950764777963758e+08
1.884615384615384581e-01,6.538137980254765625e+11,7.523251056495532990e+08
2.346153846153846145e-01,8.490958558536783447e+11,1.001102584293579221e+09
2.807692307692307709e-01,1.056148815055153198e+12,1.299195673392068148e+09
3.269230769230768718e-01,1.281273008412931641e+12,1.653191689216459274e+09
3.730769230769230282e-01,1.539322281215846191e+12,2.121249305609123230e+09
4.192307692307691847e-01,1.828617110759512695e+12,2.705633641542596817e+09
4.653846153846153411e-01,2.168031263023434082e+12,3.549539461496765614e+09
5.115384615384614975e-01,2.578118875522057129e+12,4.655002760384453773e+09
5.576923076923077094e-01,3.064153279931320312e+12,6.162727910563849449e+09
6.038461538461538103e-01,3.697762202665395508e+12,8.571313077683812141e+09
6.500000000000000222e-01,4.526636481080135742e+12,1.239915022936568069e+10
6.961538461538461231e-01,5.671374200548436523e+12,1.879577683651045227e+10
7.423076923076923350e-01,7.342146048341035156e+12,3.127360201557410049e+10
7.884615384615384359e-01,1.003060843911790625e+13,5.752205752536736298e+10
8.346153846153845368e-01,1.481616740111685352e+13,1.224064008814215698e+11
8.807692307692307487e-01,2.472133035724874609e+13,3.012996287922999878e+11
9.269230769230768496e-01,5.563036253149635938e+13,1.278590845232496826e+12
1.000000000000000021e-02,4.330302070731098175e+10,4.603818772884729505e+07
1.444444444444444378e-02,4.513846893401709747e+10,4.795459874806657434e+07
1.888888888888888909e-02,4.768993930611772919e+10,5.064135696561432630e+07
2.333333333333333093e-02,5.092488403827986145e+10,5.415232898920485377e+07
2.777777777777777624e-02,5.512346207967182159e+10,5.872028824967570603e+07
3.222222222222222154e-02,6.022104134449813843e+10,6.413644070875591785e+07
3.666666666666666685e-02,6.650560101475911713e+10,7.094757459092439711e+07
4.111111111111111216e-02,7.407918879936573792e+10,7.932932082992331684e+07
4.555555555555555747e-02,8.265897846880667114e+10,8.857367173608352244e+07
5.000000000000000278e-02,9.280015526944418335e+10,9.932882272954961658e+07
