# beta_F_mu = 0.836788
# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# m3 = 0
# pFa = 193.5970754338753
# pFb = 225.7671563397886
# pF1 = 162.00027388109442
# pF2 = 225.76715633978853
# mu_a = 193.59774982563616
# mu_b = 783.835248116998
# mu_1 = 193.59774982563616
# mu_2 = 783.835248116998
# neval = 1000000
# n = 10
# Columns:T,emissivity (ergs/cm^3/s),error
8.617329999999999435e-04,1.142687695874658133e-08,1.983848168962014316e-09
4.617074705263158468e-02,1.246181249450016022e+08,3.635323941628149245e+06
9.147976110526316595e-02,2.995343838427773666e+10,5.723702761427700520e+08
1.367887751578947542e-01,7.571916835590709229e+11,1.045803540801432800e+10
1.820977892105263007e-01,7.219328899608964844e+12,7.753598931462277222e+10
2.274068032631578751e-01,4.347252690630814062e+13,3.943919557856721191e+11
2.727158173157894772e-01,1.854072425962119688e+14,1.463913631973833740e+12
3.180248313684210237e-01,6.191025963809227500e+14,4.159645350643325684e+12
3.633338454210526258e-01,1.787844370083403750e+15,1.079992161651585742e+13
4.086428594736842279e-01,4.553956185875521000e+15,2.405733871867137891e+13
4.539518735263157745e-01,1.059189499099042600e+16,5.273484896295067969e+13
4.992608875789473766e-01,2.245137981950824400e+16,1.002626081722842969e+14
5.445699016315789232e-01,4.482426114781410400e+16,1.790463471583517500e+14
5.898789156842105807e-01,8.490253342107417600e+16,3.284559480226338750e+14
6.351879297368421273e-01,1.538939308203732160e+17,5.628622049036448750e+14
6.804969437894736739e-01,2.659237850205866880e+17,9.375915165280217500e+14
7.258059578421053315e-01,4.444945692928444800e+17,1.487867441864395250e+15
7.711149718947367671e-01,7.120409469756102400e+17,2.176588212894226250e+15
8.164239859473684247e-01,1.121230331025830656e+18,3.295363426040283000e+15
8.617329999999999712e-01,1.711468926884060416e+18,4.991878582755587000e+15
8.617330000000000045e-06,1.001000149401752264e-34,4.728913955377291542e-35
2.012768268723437570e-05,1.178645217706349069e-28,7.228576337830802748e-29
4.701266057560691977e-05,8.427710531918152028e-26,4.770553660883122217e-26
1.098084806254918147e-04,6.593561128143205509e-19,1.892670925064663078e-19
2.564820256851281120e-04,1.620839213185228829e-14,3.323778140817354249e-15
5.990705738284777312e-04,1.048703244247230346e-10,2.575502415873337475e-11
1.399262000791314138e-03,4.521198986487911664e-06,6.248183052377855987e-07
3.268286296130273969e-03,3.478489683301159985e-02,3.619564969189781843e-03
7.633806469004513970e-03,6.329297826024349405e+01,4.986744233909924162e+00
1.783044566053289606e-02,5.923808688414454809e+04,3.251234257964949393e+03
4.164695473275151216e-02,5.695951702169190347e+07,1.873817415258165682e+06
9.727568629151214785e-02,4.717860538186809540e+10,8.074377007416365147e+08
2.272089088915605071e-01,4.277711987126717969e+13,3.928999366195029297e+11
5.306967264665592987e-01,3.635369992404759200e+16,1.490821707782106562e+14
1.239559737583792565e+00,2.844719235435167744e+19,6.238628828791170400e+16
2.895266291294181116e+00,1.296230428214990733e+22,1.645434786354613248e+19
6.762535635308752013e+00,3.927062240688412178e+24,2.956911540457836118e+21
1.579539966887765523e+01,8.928534363036251673e+26,5.036708783088981267e+23
3.689365411945653506e+01,1.955684636908958043e+29,1.253995592781182360e+26
8.617329999999999757e+01,8.556452829026526792e+31,1.097635106981701074e+29
