# T = 0.0008617329999999999
# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# pFa = 193.5970754338753
# pFb = 225.7671563397886
# pF1 = 162.00027388109442
# pF2 = 225.76715633978853
# mu_a = 193.59774982563616
# mu_b = 783.835248116998
# mu_1 = 193.59774982563616
# mu_2 = 783.835248116998
# neval = 10000000
# Columns:n,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,1.152391455506842103e-03,9.612455917874631933e-05
1.438449888287662848e-02,1.864318901931720507e-02,1.397003119070748447e-03
2.069138081114790112e-02,4.488226782963953276e-01,3.002057752196095330e-02
2.976351441631317624e-02,6.855955364875836899e+00,3.616640604214915733e-01
4.281332398719393806e-02,1.438017943274386425e+02,6.737363486319215333e+00
6.158482110660264131e-02,2.565982655784799135e+03,1.002881753482403013e+02
8.858667904100822610e-02,5.136298958743807452e+04,1.784434585820281654e+03
1.274274985703133523e-01,1.011489205420016195e+06,3.091770217036733811e+04
1.832980710832435578e-01,1.808709965904698521e+07,4.297963477551684482e+05
2.636650898730358294e-01,3.374109084568954110e+08,6.591226989055503160e+06
3.792690190732249111e-01,6.369787947366782188e+09,1.001804608802164942e+08
5.455594781168516816e-01,1.154978550865554657e+11,1.399050175571143866e+09
7.847599703514610558e-01,2.155973503099483887e+12,2.061383397885371399e+10
1.128837891684688399e+00,3.905730037710100781e+13,2.864990601903369141e+11
1.623776739188721008e+00,7.135301483382620000e+14,3.848093806177666016e+12
2.335721469090121349e+00,1.283874308011969000e+16,5.026517562804241406e+13
3.359818286283780875e+00,2.341634737965747840e+17,6.636163238704680000e+14
4.832930238571751858e+00,4.209877841715179008e+18,8.218996903805946000e+15
6.951927961775605347e+00,7.615982364616389427e+19,1.017352036044261600e+17
1.000000000000000000e+01,1.363443090646563029e+21,1.331335193851775232e+18
1.000000000000000000e+01,1.361899325829186322e+21,1.298302678816029696e+18
1.128837891684688977e+01,3.518035260568403182e+21,3.029842988136394240e+18
1.274274985703133467e+01,8.982266049854187766e+21,6.864074071529264128e+18
1.438449888287662937e+01,2.267942969461404441e+22,1.573389563266779546e+19
1.623776739188721763e+01,5.651217328238689151e+22,3.573129724722777702e+19
1.832980710832435634e+01,1.389513423767109622e+23,8.106461829541914214e+19
2.069138081114790140e+01,3.372554968706882218e+23,1.796350786391075389e+20
2.335721469090121971e+01,8.111962932576217245e+23,4.049132172053522022e+20
2.636650898730358250e+01,1.926214219319810862e+24,8.721743680422669189e+20
2.976351441631317840e+01,4.540231241493393904e+24,1.926359444129616495e+21
3.359818286283780964e+01,1.059970696452644569e+25,4.002248450121374106e+21
3.792690190732249533e+01,2.463352421021431301e+25,8.848038891699656720e+21
4.281332398719393240e+01,5.684011921109788948e+25,1.884316813785379425e+22
4.832930238571752568e+01,1.304412960922593257e+26,4.102595337811966244e+22
5.455594781168520058e+01,2.982371508466473842e+26,8.619550398789915247e+22
6.158482110660263942e+01,6.786657179800716645e+26,1.834875992364118767e+23
6.951927961775605525e+01,1.541018956061165313e+27,3.894862973512529069e+23
7.847599703514610781e+01,3.488340956173611364e+27,8.316849516926123660e+23
8.858667904100822454e+01,7.874451642320099639e+27,1.733268362227380157e+24
