# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# pFa = 193.5970754338753
# pFb = 225.7671563397886
# pF1 = 162.00027388109442
# pF2 = 225.76715633978853
# mu_a = 193.59774982563616
# mu_b = 783.835248116998
# mu_1 = 193.59774982563616
# mu_2 = 783.835248116998
# neval = 10000000
# Columns:T,emissivity (ergs/cm^3/s),error
8.617329999999999706e-05,1.381304215353761135e-15,2.377479107583297690e-16
1.197374120852646702e-04,5.557592216785127743e-14,7.962152002540571364e-15
1.663745946003749351e-04,7.621209569662299991e-13,1.124132020766399844e-13
2.311767495753782860e-04,7.063434258151509057e-12,9.893337366689338225e-13
3.212190519388152029e-04,3.351330312417504184e-10,3.268373816097649768e-11
4.463324253757950484e-04,2.891998907012277648e-09,3.772915646818369606e-10
6.201768940523017621e-04,5.147294521483822008e-08,4.638722242565730145e-09
8.617329999999999435e-04,1.459203538831428972e-06,1.313110547398869201e-07
1.197374120852646648e-03,1.806078695674109163e-05,1.272941864250161176e-06
1.663745946003749188e-03,3.265333385073148427e-04,2.307876996212127066e-05
2.311767495753782806e-03,3.805638362728065976e-03,2.443173163188582853e-04
3.212190519388154197e-03,6.220734218465766990e-02,3.206724546521060818e-03
4.463324253757948099e-03,8.627300587285977596e-01,3.959083325360489292e-02
6.201768940523015236e-03,1.318847016067732092e+01,5.144686487473100200e-01
8.617329999999999435e-03,1.788254744636790576e+02,5.930573761483637796e+00
1.197374120852646821e-02,2.529109077690048252e+03,7.045248951189127240e+01
1.663745946003749449e-02,3.632813913746336038e+04,8.417039623013102982e+02
2.311767495753782806e-02,5.042678106132345856e+05,9.410243074830661499e+03
3.212190519388152116e-02,7.156300845684137195e+06,1.179975179410312849e+05
4.463324253757945670e-02,1.029309358047447056e+08,1.404464045625178143e+06
6.201768940523011420e-02,1.384958695176178217e+09,1.439003973561109975e+07
8.617329999999999435e-02,1.902969686330078125e+10,1.537499022714363039e+08
1.197374120852646856e-01,2.661681784613110352e+11,1.712209757018489361e+09
1.663745946003749310e-01,3.621705510813722656e+12,1.692916200021583748e+10
2.311767495753782875e-01,4.974066323847799219e+13,1.723590273259547119e+11
3.212190519388152254e-01,6.798948457779832500e+14,1.696535380145357910e+12
4.463324253757945392e-01,9.344553762581366000e+15,1.703820488047358203e+13
6.201768940523011420e-01,1.282401189064749120e+17,1.675728455984209062e+14
8.617329999999999712e-01,1.740593988058836992e+18,1.669925511001721000e+15
1.197374120852645607e+00,2.230469253681679565e+19,1.612086724657150400e+16
1.663745946003749143e+00,2.605240067763875676e+20,1.476584222522816320e+17
2.311767495753780377e+00,2.793265303834299728e+21,1.253058738897528320e+18
3.212190519388152588e+00,2.797711205375503290e+22,1.032851722252051046e+19
4.463324253757949833e+00,2.680901534727542428e+23,7.982503324796980429e+19
6.201768940523011864e+00,2.488889938585837623e+24,6.106589064526106460e+20
8.617329999999999046e+00,2.262061428768340141e+25,4.849292195087316419e+21
1.197374120852645518e+01,2.015224859230057571e+26,3.893544189181488739e+22
1.663745946003749410e+01,1.852660701132923895e+27,4.073382542441565536e+23
2.311767495753780111e+01,6.634937665251280801e+28,2.861966650694832536e+27
3.212190519388152410e+01,2.458465970302236303e+30,1.805222221248593519e+29
4.463324253757941307e+01,6.019447988130113505e+31,3.597667893479768765e+30
6.201768940523011509e+01,7.034369700686801262e+32,4.565828523860235163e+31
8.617329999999999757e+01,1.510319048488817642e+34,9.839127459446711237e+32
1.197374120852645660e+02,1.512677913377664185e+35,9.193224237023603629e+33
1.663745946003749054e+02,1.893244890201038641e+36,1.384988627361197428e+35
2.311767495753780395e+02,2.707156788260584049e+37,1.968704988094616176e+36
3.212190519388151984e+02,5.098896264038649433e+38,4.618935458822390231e+37
4.463324253757940596e+02,7.517684893801182568e+39,5.395543060226345848e+38
6.201768940523011224e+02,8.553068400662246263e+40,5.429497296759886744e+39
8.617329999999999472e+02,1.891141751356537649e+42,1.246361078607458066e+41
