# beta_F_mu = 0.836788
# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# m3 = 0
# pFa = 193.5970754338753
# pFb = 225.7671563397886
# pF1 = 162.00027388109442
# pF2 = 225.76715633978853
# mu_a = 193.59774982563616
# mu_b = 783.835248116998
# mu_1 = 193.59774982563616
# mu_2 = 783.835248116998
# neval = 10000000
# n = 10
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-03,9.473759930407246635e-16,1.392185716388148309e-16
3.593813663804625805e-03,2.717694630210861157e-10,2.614795831885665705e-11
1.291549665014883955e-02,1.036982808583213738e-05,6.950559571381656087e-07
4.641588833612779463e-02,3.835585114456080968e-01,1.368208393534156402e-02
1.668100537200059019e-01,1.134000335714784524e+04,2.308660560519706451e+02
5.994842503189409255e-01,3.190091192939234376e+08,2.984387381572767626e+06
2.154434690031884259e+00,8.638002587296229492e+12,3.114291551349854660e+10
7.742636826811277295e+00,2.271535818794957440e+17,2.586168831469783125e+14
2.782559402207125743e+01,3.469841294530166391e+21,1.418345797500290048e+18
1.000000000000000000e+02,1.913383890341943890e+25,3.725616451170302689e+21
