# beta_F_mu = 0.836788
# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# m3 = 0
# pFa = 193.5970754338753
# pFb = 225.7671563397886
# pF1 = 162.00027388109442
# pF2 = 225.76715633978853
# mu_a = 193.59774982563616
# mu_b = 783.835248116998
# mu_1 = 193.59774982563616
# mu_2 = 783.835248116998
# neval = 1000000
# n = 10
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,2.000391804317315814e-07,4.048421619840471255e-08
2.154434690031883232e-02,2.350833887431678633e-04,3.861850800261026233e-05
4.641588833612777382e-02,2.317208976719354052e-01,3.892759298096448717e-02
1.000000000000000056e-01,1.521296926704629868e+02,1.792153650471091453e+01
2.154434690031883370e-01,8.526874083047430031e+04,8.054244572777990470e+03
4.641588833612777520e-01,3.988051840878446400e+07,2.397040422804868780e+06
1.000000000000000000e+00,1.723316778219086456e+10,6.053135983613822460e+08
2.154434690031882038e+00,8.567990523910041016e+12,1.827941680794611206e+11
4.641588833612777520e+00,3.858748068408719500e+15,3.988364106371627344e+13
1.000000000000000000e+01,1.711922614913464576e+18,8.476199328181227000e+15
2.154434690031882127e+01,5.611523196609576305e+20,1.732781679506520576e+18
4.641588833612777165e+01,1.176309940341618183e+23,2.161088610666184049e+20
1.000000000000000000e+02,1.912871041035007889e+25,2.589063096585778994e+22
1.000000000000000021e-02,1.828416900322778622e-07,3.554218303901729918e-08
2.154434690031883232e-02,1.009051311939827985e-04,1.752577397438911827e-05
4.641588833612777382e-02,1.970054948168536435e-01,3.001279628727171814e-02
1.000000000000000056e-01,1.886684129730172401e+02,2.485098960872335994e+01
2.154434690031883370e-01,6.526475225214866077e+04,5.568775283722863605e+03
4.641588833612777520e-01,3.588787965882489830e+07,2.186541043428828008e+06
1.000000000000000000e+00,1.805048161139041138e+10,6.785896777335034609e+08
2.154434690031882038e+00,8.528619704260291016e+12,1.764703189580905151e+11
4.641588833612777520e+00,3.795346945474848000e+15,3.633260639594173438e+13
1.000000000000000000e+01,1.707364949182668288e+18,8.890752904341039000e+15
2.154434690031882127e+01,5.645727335654838764e+20,1.897898958643662336e+18
4.641588833612777165e+01,1.180124026551389242e+23,2.249491006173429105e+20
1.000000000000000000e+02,1.914603691073321672e+25,2.511540381769228983e+22
