# beta_F_mu = 0.05
# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# m3 = 0
# pFa = 106.13151878684535
# pFb = 106.13594090297826
# pF1 = 5.306637447810645
# pF2 = 106.1359409029783
# mu_a = 106.13274895621288
# mu_b = 758.08424680918
# mu_1 = 106.13274895621288
# mu_2 = 758.08424680918
# neval = 1000000
# n = 10
# Columns:n,emissivity (ergs/cm^3/s),error
5.000000000000000278e-02,1.027639817249220286e+29,1.156595848374587111e+26
7.307692307692308098e-02,1.031341247663298993e+29,1.142230714065461164e+26
9.615384615384614531e-02,1.034951774656045268e+29,1.156966702792889385e+26
1.192307692307692235e-01,1.040971483531975219e+29,1.145780034125270162e+26
1.423076923076923017e-01,1.049722931495666872e+29,1.149422726237519468e+26
1.653846153846153799e-01,1.058364300958463073e+29,1.274924828036049086e+26
1.884615384615384581e-01,1.066340821776663818e+29,1.183368332785117582e+26
2.115384615384615086e-01,1.080125375466297958e+29,1.211272049524306964e+26
2.346153846153846145e-01,1.092170643618607987e+29,1.276441710204287554e+26
2.576923076923076650e-01,1.108667460981131778e+29,1.254685873168715742e+26
2.807692307692307709e-01,1.127423008423746408e+29,1.240804955604398533e+26
3.038461538461538214e-01,1.146365576933057463e+29,1.339019366179108065e+26
3.269230769230768718e-01,1.168799982419714053e+29,1.338045197437729033e+26
3.499999999999999778e-01,1.196224484514088441e+29,1.524730368612626473e+26
3.730769230769230282e-01,1.222033036636578357e+29,1.462901762176757153e+26
3.961538461538461342e-01,1.254148043017129841e+29,1.477889363710504507e+26
4.192307692307691847e-01,1.287160031093271323e+29,1.494470477274526719e+26
4.423076923076922351e-01,1.329780364872627186e+29,1.644508536110924084e+26
4.653846153846153411e-01,1.372870161470940956e+29,1.802102676489547605e+26
4.884615384615383915e-01,1.423075833544482788e+29,1.703336579974114243e+26
5.115384615384614975e-01,1.479706407400680847e+29,1.810227602576004694e+26
5.346153846153846034e-01,1.548474076653711851e+29,1.926334583796498301e+26
5.576923076923077094e-01,1.620859568307208983e+29,2.160090509024116471e+26
5.807692307692308153e-01,1.706513820407108980e+29,2.162774401477757997e+26
6.038461538461538103e-01,1.806974431780561233e+29,2.258407955945662135e+26
6.269230769230769162e-01,1.919903392526231479e+29,2.593266859720098101e+26
6.500000000000000222e-01,2.057012113424907455e+29,2.563943923742232753e+26
6.730769230769230171e-01,2.224184801749869019e+29,2.909393070451523654e+26
6.961538461538461231e-01,2.423816560533705030e+29,3.080149916367173015e+26
7.192307692307692291e-01,2.665922347317321003e+29,3.548384611742875575e+26
7.423076923076923350e-01,2.967614628137237684e+29,3.927339156553738861e+26
7.653846153846153300e-01,3.344646198032965326e+29,5.007902289452102352e+26
7.884615384615384359e-01,3.839931390373366405e+29,5.037045787774210545e+26
8.115384615384615419e-01,4.521834155421316099e+29,6.796763548618758832e+26
8.346153846153845368e-01,5.447790827776350678e+29,8.554411901174128977e+26
8.576923076923076428e-01,6.806243263338802881e+29,1.177229917302554608e+27
8.807692307692307487e-01,8.925832511309272692e+29,1.562026615149297633e+27
9.038461538461538547e-01,1.256349570003219804e+30,2.574037529851026815e+27
9.269230769230768496e-01,1.958575557855118390e+30,4.409141507357954935e+27
9.499999999999999556e-01,3.674671213534931615e+30,1.112372527742128607e+28
