# T = 0.0861733
# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# m3 = 0
# pFa = 105.99876829001364
# pFb = 105.99876829001362
# pF1 = 0.0
# pF2 = 105.99876829001342
# mu_a = 106.0
# mu_b = 758.0650540605873
# mu_1 = 106.0
# mu_2 = 758.0650540605873
# neval = 5000000
# n = 10
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
0.000000000000000000e+00,5.477820819816418737e+07,6.891901412081056333e+04
2.435897435897435917e-02,6.807647787969072163e+07,8.569441923340175708e+04
4.871794871794871834e-02,1.182616486232046783e+08,1.492517883619111090e+05
7.307692307692308098e-02,2.189149560790424943e+08,2.780616356200552545e+05
9.743589743589743668e-02,3.559380778885464072e+08,4.561916001882788260e+05
1.217948717948717924e-01,4.996648708558244705e+08,6.477348609745837748e+05
1.461538461538461620e-01,6.327245840098173618e+08,8.299887722235221881e+05
1.705128205128205177e-01,7.628165303888009787e+08,1.011114796797761577e+06
1.948717948717948734e-01,8.959273699506589174e+08,1.206644347616442945e+06
2.192307692307692291e-01,1.028995055853216887e+09,1.410757640355386306e+06
2.435897435897435848e-01,1.163557203301766396e+09,1.619419765930895228e+06
2.679487179487179405e-01,1.304463313768519163e+09,1.857051818779523484e+06
2.923076923076923239e-01,1.458960646432943106e+09,2.125642249670690391e+06
3.166666666666666519e-01,1.616954360306511641e+09,2.420716930679156445e+06
3.410256410256410353e-01,1.782262969955815077e+09,2.743120713463037275e+06
3.653846153846153633e-01,1.959576161710617304e+09,3.114156698883913923e+06
3.897435897435897467e-01,2.146966182399394512e+09,3.511768840412657708e+06
4.141025641025641302e-01,2.353073958093174458e+09,4.004247958691507578e+06
4.384615384615384581e-01,2.582561142614014626e+09,4.568777906721523032e+06
4.628205128205128416e-01,2.816739316155333519e+09,5.205363630602924153e+06
4.871794871794871695e-01,3.074090801105706692e+09,5.937370671561351977e+06
5.115384615384614975e-01,3.366341201158095837e+09,6.861894737050597556e+06
5.358974358974358809e-01,3.687302957034090042e+09,7.953131926461776718e+06
5.602564102564102644e-01,4.076349888907453060e+09,9.381901909519582987e+06
5.846153846153846478e-01,4.469671423350459099e+09,1.093143071488973871e+07
6.089743589743590313e-01,4.920241270067071915e+09,1.280332973823908158e+07
6.333333333333333037e-01,5.471837447756929398e+09,1.548179997942268103e+07
6.576923076923076872e-01,6.069007426472815514e+09,1.863724341711195558e+07
6.820512820512820706e-01,6.870492606944839478e+09,2.343352698208094388e+07
7.064102564102564541e-01,7.759197145743879318e+09,2.892211251062491164e+07
7.307692307692307265e-01,8.858594243207202911e+09,3.709028254469536990e+07
7.551282051282051100e-01,1.026408515397801399e+10,4.831816721243791282e+07
7.794871794871794934e-01,1.207402140547529221e+10,6.602072015950501710e+07
8.038461538461538769e-01,1.435422431973742485e+10,9.182336469553314149e+07
8.282051282051282604e-01,1.742863235729030991e+10,1.327597448671923876e+08
8.525641025641025328e-01,2.222316202326495361e+10,2.089570729072019458e+08
8.769230769230769162e-01,2.946369346714168930e+10,3.486381619027292728e+08
9.012820512820512997e-01,4.191982144242219543e+10,6.549537096895638704e+08
9.256410256410256832e-01,6.707263265144274902e+10,1.485730029539554596e+09
9.499999999999999556e-01,1.319320377888133087e+11,4.722884519330709457e+09
0.000000000000000000e+00,5.477897696906120330e+07,6.892878727299461025e+04
2.435897435897435917e-02,6.808042232665172219e+07,8.587871490866612294e+04
4.871794871794871834e-02,1.180403222443637401e+08,1.492490305497298250e+05
7.307692307692308098e-02,2.184237479063192606e+08,2.774914300011358573e+05
9.743589743589743668e-02,3.561482089971125126e+08,4.569232860661785817e+05
1.217948717948717924e-01,4.985193924098973274e+08,6.471162272042707773e+05
1.461538461538461620e-01,6.317928414156734943e+08,8.296855721811935073e+05
1.705128205128205177e-01,7.629824417726267576e+08,1.014381892617930775e+06
1.948717948717948734e-01,8.933113243578671217e+08,1.201138802819592878e+06
2.192307692307692291e-01,1.026146302242797613e+09,1.405084714968438027e+06
2.435897435897435848e-01,1.165488356243866444e+09,1.624826516761818202e+06
2.679487179487179405e-01,1.305944051231900454e+09,1.860226289241676917e+06
2.923076923076923239e-01,1.454556864073328018e+09,2.118489929890876170e+06
3.166666666666666519e-01,1.613641374414344549e+09,2.409551817205972038e+06
3.410256410256410353e-01,1.778028809030358315e+09,2.735270960822664667e+06
3.653846153846153633e-01,1.958516676632986307e+09,3.115245061346161645e+06
3.897435897435897467e-01,2.146515919483974218e+09,3.523801205617087428e+06
4.141025641025641302e-01,2.338113969542522907e+09,3.979776290649837349e+06
4.384615384615384581e-01,2.565534809034758091e+09,4.547830409538528882e+06
4.628205128205128416e-01,2.798007878553351402e+09,5.151974429703691043e+06
4.871794871794871695e-01,3.076149007962352276e+09,5.964027361580914818e+06
5.115384615384614975e-01,3.359918047912842274e+09,6.830068744486968964e+06
5.358974358974358809e-01,3.674980948646724224e+09,7.863525182159694843e+06
5.602564102564102644e-01,4.034449441736112595e+09,9.181598053861971945e+06
5.846153846153846478e-01,4.457835084690915108e+09,1.095765524223775044e+07
6.089743589743590313e-01,4.920488375238744736e+09,1.281758048640242778e+07
6.333333333333333037e-01,5.473550443182611465e+09,1.551837295490625873e+07
6.576923076923076872e-01,6.092180189104632378e+09,1.873241226582468674e+07
6.820512820512820706e-01,6.847450443108106613e+09,2.312513737126546726e+07
7.064102564102564541e-01,7.705213792532904625e+09,2.877033235915495083e+07
7.307692307692307265e-01,8.829854589496658325e+09,3.664892409220784903e+07
7.551282051282051100e-01,1.023057230623832321e+10,4.880760113165466487e+07
7.794871794871794934e-01,1.198207594198815155e+10,6.515402352499589324e+07
8.038461538461538769e-01,1.425770790585136604e+10,9.104179221562057734e+07
8.282051282051282604e-01,1.776528422385656738e+10,1.354983139668551087e+08
8.525641025641025328e-01,2.188263994663919067e+10,2.032508237621113360e+08
8.769230769230769162e-01,2.924218551760057831e+10,3.469686219660867453e+08
9.012820512820512997e-01,4.191289406772303009e+10,6.728406735242673159e+08
9.256410256410256832e-01,6.731259004736283875e+10,1.494090148595615149e+09
9.499999999999999556e-01,1.289265169910932617e+11,4.341614172882523537e+09
