# T = 0.0861733
# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# m3 = 0
# pFa = 105.99876829001364
# pFb = 105.99876829001362
# pF1 = 0.0
# pF2 = 105.99876829001342
# mu_a = 106.0
# mu_b = 758.0650540605873
# mu_1 = 106.0
# mu_2 = 758.0650540605873
# neval = 1000000
# n = 10
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
0.000000000000000000e+00,5.476342738426394761e+07,1.575845974195651652e+05
2.435897435897435917e-02,6.821517314520627260e+07,1.969533202810090152e+05
4.871794871794871834e-02,1.181570237241401225e+08,3.426231386582702980e+05
7.307692307692308098e-02,2.182031561995267272e+08,6.350419782133698463e+05
9.743589743589743668e-02,3.560663218353580832e+08,1.047482462893790333e+06
1.217948717948717924e-01,4.983567048784745932e+08,1.486243033143962035e+06
1.461538461538461620e-01,6.317205910565314293e+08,1.904239071261892095e+06
1.705128205128205177e-01,7.587809517853163481e+08,2.325396094353831839e+06
1.948717948717948734e-01,8.899413507104508877e+08,2.769132545981457923e+06
2.192307692307692291e-01,1.025064242988965511e+09,3.240030981792708859e+06
2.435897435897435848e-01,1.156746772908852816e+09,3.738977393619881012e+06
2.679487179487179405e-01,1.309210929708746195e+09,4.331870511557470076e+06
2.923076923076923239e-01,1.451513858330404758e+09,4.901347277709200047e+06
3.166666666666666519e-01,1.609638757331945181e+09,5.570687132660291158e+06
3.410256410256410353e-01,1.781301618367859125e+09,6.376441984517903067e+06
3.653846153846153633e-01,1.949338314554872274e+09,7.216713059903077781e+06
3.897435897435897467e-01,2.153056409975773335e+09,8.332008944170264527e+06
