# T = 0.0861733
# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# m3 = 0
# pFa = 105.99876829001364
# pFb = 105.99876829001362
# pF1 = 0.0
# pF2 = 105.99876829001342
# mu_a = 106.0
# mu_b = 758.0650540605873
# mu_1 = 106.0
# mu_2 = 758.0650540605873
# neval = 10000000
# n = 10
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
0.000000000000000000e+00,5.477498174549215287e+07,4.334026985872536170e+04
2.500000000000000139e-02,6.877351257932348549e+07,5.444854777938582265e+04
5.000000000000000278e-02,1.217737921084289998e+08,9.680278782894497272e+04
7.500000000000001110e-02,2.283528511442707777e+08,1.827052717998315638e+05
1.000000000000000056e-01,3.707622528335005045e+08,2.999211699014057522e+05
2.500000000000000000e-01,1.201185001583746433e+09,1.066263628774914891e+06
4.000000000000000222e-01,2.226848581777599812e+09,2.353620878700453322e+06
7.500000000000000000e-01,9.942921776809860229e+09,3.233839430171152949e+07
7.750000000000000222e-01,1.162318165600399208e+10,4.391205136900054663e+07
8.000000000000000444e-01,1.387466416742872810e+10,6.088412161130028218e+07
8.249999999999999556e-01,1.693641120660349846e+10,9.131236572663035989e+07
8.499999999999999778e-01,2.170201994146651077e+10,1.448436437479515970e+08
3.499999999999999778e-01,1.840467420274198055e+09,1.810886588318828726e+06
3.999999999999999667e-01,2.230323999987057209e+09,2.364369251318320166e+06
4.499999999999999556e-01,2.676251035456221581e+09,3.090128660199595615e+06
4.999999999999999445e-01,3.214781480148711205e+09,4.123891745850603096e+06
5.499999999999999334e-01,3.888258573772634029e+09,5.655702937964328565e+06
5.999999999999998668e-01,4.742317316431747437e+09,8.037055480763530359e+06
6.499999999999999112e-01,5.909506569184569359e+09,1.197510826281511597e+07
6.999999999999999556e-01,7.464667566409801483e+09,1.871969944905007258e+07
