# T = 0.0861733
# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# m3 = 0
# pFa = 105.99876829001364
# pFb = 105.99876829001362
# pF1 = 0.0
# pF2 = 105.99876829001342
# mu_a = 106.0
# mu_b = 758.0650540605873
# mu_1 = 106.0
# mu_2 = 758.0650540605873
# neval = 10000000
# n = 10
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
0.000000000000000000e+00,5.493100102255552262e+07,4.345874984355424385e+04
2.564102564102564014e-02,6.964132322842548788e+07,5.520013000694696530e+04
5.128205128205128027e-02,1.260322614167841673e+08,1.002288964701228542e+05
7.692307692307692735e-02,2.385871111222633719e+08,1.909171542095679906e+05
1.025641025641025605e-01,3.866286509248061776e+08,3.131558697806642740e+05
1.282051282051281937e-01,5.359475948742070198e+08,4.403667352143781027e+05
1.538461538461538547e-01,6.739289833383001089e+08,5.613135419518506387e+05
1.794871794871794879e-01,8.110437554132156372e+08,6.851118957246004138e+05
2.051282051282051211e-01,9.496805033648116589e+08,8.156688070036144927e+05
2.307692307692307543e-01,1.091951065601427317e+09,9.536233092236297671e+05
2.564102564102563875e-01,1.238991355435148954e+09,1.105881584546392318e+06
2.820512820512820484e-01,1.394260528525926590e+09,1.274777508001880953e+06
3.076923076923077094e-01,1.551552059171602488e+09,1.452764537608110346e+06
3.333333333333333148e-01,1.726629514321728230e+09,1.666592718736925395e+06
3.589743589743589758e-01,1.910402498981539249e+09,1.906358645092802122e+06
3.846153846153845812e-01,2.107896177695537806e+09,2.180430681574667804e+06
4.102564102564102422e-01,2.318266014156746387e+09,2.494402689658368472e+06
4.358974358974359031e-01,2.549691685890614033e+09,2.872336553433336783e+06
4.615384615384615086e-01,2.798450709520327568e+09,3.300856088642941788e+06
4.871794871794871695e-01,3.068489481211390495e+09,3.822945921647567302e+06
5.128205128205127750e-01,3.382494053647427559e+09,4.486261399579348043e+06
5.384615384615384359e-01,3.724578538483751774e+09,5.247108729364950210e+06
5.641025641025640969e-01,4.109428981862914085e+09,6.206636970249618404e+06
5.897435897435897578e-01,4.563144137090453148e+09,7.476920917635972612e+06
6.153846153846154188e-01,5.067497684491672516e+09,9.039329005436001346e+06
6.410256410256409687e-01,5.656833629446507454e+09,1.111124520018959045e+07
6.666666666666666297e-01,6.367275998651384354e+09,1.374705189592684247e+07
6.923076923076922906e-01,7.216338931605737686e+09,1.736531062991622835e+07
7.179487179487179516e-01,8.243576847786998749e+09,2.241578668996844813e+07
7.435897435897436125e-01,9.528420889764417648e+09,2.971257293083534390e+07
7.692307692307691624e-01,1.116415553769973564e+10,4.010292978611524403e+07
7.948717948717948234e-01,1.347080771362714958e+10,5.753126789759029448e+07
8.205128205128204844e-01,1.656894461953307152e+10,8.637668318175955117e+07
8.461538461538461453e-01,2.105721952551213455e+10,1.364037796326372027e+08
8.717948717948718063e-01,2.782181836707783508e+10,2.325786780645661652e+08
8.974358974358973562e-01,3.947713507241391754e+10,4.306451258669829965e+08
9.230769230769230171e-01,6.106580592087329102e+10,9.361399205827521086e+08
9.487179487179486781e-01,1.153612273034265900e+11,2.875204659900840282e+09
9.743589743589743390e-01,3.732324228854690552e+11,1.639936786967044640e+10
