# T = 0.0861733
# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# pFa = 105.99882129066926
# pFb = 105.9988213260034
# pF1 = 0.10600005300003974
# pF2 = 105.99882132600334
# mu_a = 106.00005300003976
# mu_b = 758.0650614765088
# mu_1 = 106.00005300003976
# mu_2 = 758.0650614765088
# neval = 10000000
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
1.000000000000000021e-03,5.478898734882186353e+07,5.741892068073904375e+04
1.668100537200059227e-03,5.495260755340281874e+07,5.774136480385706091e+04
2.782559402207125665e-03,5.507468864867170900e+07,5.789177991445601947e+04
4.641588833612777208e-03,5.531688208653947711e+07,5.819844944220667094e+04
7.742636826811269413e-03,5.602127487258259207e+07,5.894274935490688222e+04
1.291549665014883955e-02,5.841247495460513979e+07,6.125095688064362184e+04
2.154434690031883232e-02,6.514406531462304294e+07,6.858225376276038878e+04
3.593813663804625719e-02,8.606576772322218120e+07,9.083517283063080686e+04
5.994842503189409116e-02,1.580854464386019111e+08,1.681688316748483921e+05
1.000000000000000056e-01,3.703196860667114258e+08,4.007571148072774522e+05
1.468421052631578849e-01,6.362397856536548138e+08,7.107800976495655486e+05
1.936842105263157920e-01,8.875457739274635315e+08,1.018916695189110236e+06
2.405263157894736714e-01,1.147893768160336256e+09,1.351563418963036267e+06
2.873684210526316063e-01,1.429070753642634630e+09,1.765328906477307202e+06
3.342105263157895134e-01,1.732181888164246559e+09,2.245738600806885865e+06
3.810526315789473095e-01,2.081005624603585482e+09,2.876642984040710144e+06
4.278947368421052166e-01,2.482554881066212654e+09,3.729428859323437791e+06
4.747368421052631238e-01,2.936086432446652412e+09,4.800230372938130982e+06
5.215789473684210309e-01,3.491886574841659546e+09,6.386952715810451657e+06
5.684210526315789380e-01,4.186575788340229988e+09,8.705861032304439694e+06
6.152631578947368451e-01,5.063021121474632263e+09,1.215953643181542307e+07
6.621052631578946412e-01,6.247693950075254440e+09,1.822743817014730349e+07
7.089473684210525484e-01,7.900011683024365425e+09,2.794563120339760929e+07
7.557894736842104555e-01,1.027962757973098373e+10,4.666636959978454560e+07
8.026315789473683626e-01,1.428430709565529823e+10,8.826425876476116478e+07
8.494736842105262697e-01,2.136054460906683350e+10,1.927325210544894636e+08
8.963157894736841769e-01,3.877744620935605621e+10,5.683083786599601507e+08
9.431578947368420840e-01,1.039735833378880615e+11,3.015697365227012157e+09
9.899999999999999911e-01,7.476581785934951172e+11,8.517577813839224243e+10
