# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# pFa = 193.5970754338753
# pFb = 225.7671563397886
# pF1 = 162.00027388109442
# pF2 = 225.76715633978853
# mu_a = 193.59774982563616
# mu_b = 783.835248116998
# mu_1 = 193.59774982563616
# mu_2 = 783.835248116998
# beta_F_mu = 0.836788
# n = 10
# m3 = 0
# neval = 50000000
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,1.802990211938149656e-06,1.075781424295107780e-07
1.000000000000000056e-01,1.906011197536820987e+02,4.049131543857751758e+00
1.000000000000000000e+00,1.901824599248210144e+10,8.970008795588947833e+07
2.154434690031883814e+00,8.624807746435255859e+12,1.824508696617758560e+10
4.641588833612778409e+00,3.873302195112432000e+15,3.756520627022645508e+12
1.000000000000000000e+01,1.715581208099667456e+18,8.177590941767066250e+14
2.154434690031883193e+01,5.611656993374267638e+20,1.444491891703767040e+17
4.641588833612777165e+01,1.181181906007928571e+23,1.890298695152139878e+19
1.000000000000000000e+02,1.913303711093824374e+25,2.104678112566650864e+21
2.154434690031882269e+02,2.445052426479990219e+27,2.267500260864430891e+23
4.641588833612777307e+02,3.359365644896326396e+29,4.001505667663695685e+25
1.000000000000000000e+03,8.571008547978077194e+31,2.522067776056261155e+28
1.000000000000000000e+04,1.241372179636165203e+41,2.296100336469920150e+39
