# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# pFa = 193.5970754338753
# pFb = 225.7671563397886
# pF1 = 162.00027388109442
# pF2 = 225.76715633978853
# mu_a = 193.59774982563616
# mu_b = 783.835248116998
# mu_1 = 193.59774982563616
# mu_2 = 783.835248116998
# beta_F_mu = 0.836788
# n = 10
# m3 = 0
# neval = 50000000
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,5.094863617663356150e-07,1.566086981001947524e-08
1.000000000000000056e-01,5.227340604353356923e+01,4.967518540814858108e-01
1.000000000000000000e+00,5.158614007057381630e+09,1.143015187573594414e+07
2.154434690031883814e+00,2.379312538106286621e+12,2.752200787022428513e+09
4.641588833612778409e+00,1.082758314050848875e+15,6.146621721086466064e+11
1.000000000000000000e+01,4.849831420890913920e+17,1.396905132639662344e+14
2.154434690031883193e+01,1.871577786278018089e+20,3.027836503010689200e+16
4.641588833612777165e+01,5.328045049151366785e+22,5.358364559642024960e+18
1.000000000000000000e+02,1.094099807729692671e+25,7.691455438486222930e+20
2.154434690031882269e+02,1.550720014525966943e+27,8.970851463291091498e+22
4.641588833612777307e+02,2.106894685134963006e+29,1.266214524373995646e+25
1.000000000000000000e+03,4.862325319515568365e+31,3.820414972967348148e+27
1.000000000000000000e+04,4.524234240558738407e+40,4.058697826241662081e+37
