# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# pFa = 193.5970754338753
# pFb = 225.7671563397886
# pF1 = 162.00027388109442
# pF2 = 225.76715633978853
# mu_a = 193.59774982563616
# mu_b = 783.835248116998
# mu_1 = 193.59774982563616
# mu_2 = 783.835248116998
# beta_F_mu = 0.836788
# n = 10
# m3 = 0
# neval = 50000000
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,1.810575780100707025e-06,1.236155422594160091e-07
1.000000000000000056e-01,1.897444539990732437e+02,4.385410187728200349e+00
1.000000000000000000e+00,1.911409779886862564e+10,9.019262732681450248e+07
2.154434690031883814e+00,8.626189349156233398e+12,1.880193800454338074e+10
4.641588833612778409e+00,3.878475004877842500e+15,3.823490421136547852e+12
1.000000000000000000e+01,1.716082670452189696e+18,8.179479885877180000e+14
2.154434690031883193e+01,5.612019222760262861e+20,1.450228132479639040e+17
4.641588833612777165e+01,1.181350901197073275e+23,1.939015893875655066e+19
1.000000000000000000e+02,1.912809358747406820e+25,2.118383940168238236e+21
2.154434690031882269e+02,2.445333818076173641e+27,2.274915625730984169e+23
4.641588833612777307e+02,3.360105411707809175e+29,4.042960111451482665e+25
1.000000000000000000e+03,8.575645192821550888e+31,2.685946008391475482e+28
1.000000000000000000e+04,1.279335004332493442e+41,3.250545902955863957e+39
