# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# pFa = 106.13151878684535
# pFb = 106.13594090297826
# pF1 = 5.306637447810645
# pF2 = 106.1359409029783
# mu_a = 106.13274895621288
# mu_b = 758.08424680918
# mu_1 = 106.13274895621288
# mu_2 = 758.08424680918
# T = 43.08665
# n = 10
# m3 = 0
# neval = 1000000
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
5.000000000000000278e-02,1.029820614600502754e+29,1.208505124807334585e+26
7.307692307692308098e-02,1.032096692633686716e+29,1.172802948067016984e+26
9.615384615384614531e-02,1.035219588194495119e+29,1.115323000710316311e+26
1.192307692307692235e-01,1.042572967513400821e+29,1.240560444699408756e+26
1.423076923076923017e-01,1.050044949025478762e+29,1.198640042911379324e+26
1.653846153846153799e-01,1.057910302554489819e+29,1.255351382646394089e+26
1.884615384615384581e-01,1.065066982256004298e+29,1.227576896409433660e+26
2.115384615384615086e-01,1.080243404178916716e+29,1.241248100839466070e+26
2.346153846153846145e-01,1.096352439891972411e+29,1.337671280581290566e+26
2.576923076923076650e-01,1.110068507929615199e+29,1.286354649702557419e+26
2.807692307692307709e-01,1.124529644798179603e+29,1.251911178129317036e+26
3.038461538461538214e-01,1.148399900550286426e+29,1.332340427574981095e+26
3.269230769230768718e-01,1.168973178522274272e+29,1.351253196254125081e+26
3.499999999999999778e-01,1.193853134937946076e+29,1.369344849961601623e+26
3.730769230769230282e-01,1.221657614517240571e+29,1.514494984492306739e+26
3.961538461538461342e-01,1.251941604828216565e+29,1.586633950789136323e+26
4.192307692307691847e-01,1.288562941932970884e+29,1.530422307644977872e+26
4.423076923076922351e-01,1.329963238350278038e+29,1.591327108951734733e+26
4.653846153846153411e-01,1.373665414431576080e+29,1.748177401905357840e+26
4.884615384615383915e-01,1.424312532846760834e+29,1.739924647865265553e+26
5.115384615384614975e-01,1.480388788241316980e+29,1.642683053608757853e+26
5.346153846153846034e-01,1.544231679267009483e+29,1.838091882651860145e+26
5.576923076923077094e-01,1.620768972520735087e+29,1.959768059454150055e+26
5.807692307692308153e-01,1.704604379383654376e+29,2.076569282083207296e+26
6.038461538461538103e-01,1.808938367907222161e+29,2.397261122387370976e+26
6.269230769230769162e-01,1.924805406238933050e+29,2.434544290825735631e+26
6.500000000000000222e-01,2.066930100543493062e+29,2.772425782579667498e+26
6.730769230769230171e-01,2.227527002856044698e+29,3.132867125424399293e+26
6.961538461538461231e-01,2.420644010062906755e+29,3.044913419262496271e+26
7.192307692307692291e-01,2.666449194607393279e+29,3.515844309748979673e+26
7.423076923076923350e-01,2.966595229314764811e+29,4.245654448575609445e+26
7.653846153846153300e-01,3.350471668312197101e+29,4.744003054013929960e+26
7.884615384615384359e-01,3.852582517280044124e+29,5.657455259163990666e+26
8.115384615384615419e-01,4.515503421698051715e+29,6.880502203117828343e+26
8.346153846153845368e-01,5.447972372522297603e+29,8.750615812261955597e+26
8.576923076923076428e-01,6.798394972530575121e+29,1.190122880426310526e+27
8.807692307692307487e-01,8.913792854686716900e+29,1.604491186414635806e+27
9.038461538461538547e-01,1.252025954213792277e+30,2.476400611343682297e+27
9.269230769230768496e-01,1.951155244238311910e+30,4.437241112292808230e+27
9.499999999999999556e-01,3.653510928240778740e+30,1.266379128877334725e+28
