# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# pFa = 106.0040687491345
# pFb = 106.00410408504395
# pF1 = 1.0600530039753313
# pF2 = 106.00410408504436
# mu_a = 106.00530039753312
# mu_b = 758.0658001728834
# mu_1 = 106.00530039753312
# mu_2 = 758.0658001728834
# T = 0.0861733
# n = 10
# m3 = 0
# neval = 10000000
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,4.902506137858775258e+07,5.881155583583817497e+04
5.000000000000000278e-02,1.049140900674395859e+08,1.264612193032838550e+05
2.500000000000000000e-01,1.009780375430122852e+09,1.366846700531657087e+06
3.499999999999999778e-01,1.500819976095683098e+09,2.233546322500064503e+06
4.500000000000000111e-01,2.071388889515859365e+09,3.545808177914081141e+06
5.699999999999999512e-01,2.925030969690053463e+09,6.379049565248465165e+06
6.600000000000000311e-01,3.680368050741698265e+09,1.021307719401119277e+07
7.399999999999999911e-01,4.425479221499282837e+09,1.590775634586252645e+07
8.199999999999999512e-01,5.061713351166061401e+09,2.520798909270419925e+07
9.000000000000000222e-01,5.035185585790441513e+09,3.811679484804267436e+07
