# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# pFa = 106.0040687491345
# pFb = 106.00410408504395
# pF1 = 1.0600530039753313
# pF2 = 106.00410408504436
# mu_a = 106.00530039753312
# mu_b = 758.0658001728834
# mu_1 = 106.00530039753312
# mu_2 = 758.0658001728834
# T = 0.0861733
# n = 10
# m3 = 0
# neval = 10000000
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,5.690590749989702553e+07,8.499157323425692448e+04
2.000000000000000042e-02,6.350505126373752952e+07,9.534171798411679629e+04
2.999999999999999889e-02,7.553821370373339951e+07,1.135772476996733894e+05
4.000000000000000083e-02,9.452763211968304217e+07,1.421977856657129596e+05
5.000000000000000278e-02,1.221387825091886967e+08,1.853204042401321640e+05
1.000000000000000056e-01,3.700445205024575591e+08,5.724853834300114540e+05
1.499999999999999944e-01,6.536219322511507273e+08,1.050973438304064330e+06
2.000000000000000111e-01,9.181157104603428841e+08,1.505062647952382220e+06
2.500000000000000000e-01,1.199124059090217352e+09,2.043996080962326378e+06
2.999999999999999889e-01,1.506017086925233126e+09,2.719587784784860909e+06
3.300000000000000155e-01,1.698804777475995064e+09,3.163705126918090507e+06
