# ma = 0.511
# mb = 469.13604408
# m1 = 106.0
# m2 = 469.13604408
# pFa = 106.0040687491345
# pFb = 106.00410408504395
# pF1 = 1.0600530039753313
# pF2 = 106.00410408504395
# mu_a = 106.00530039753312
# mu_b = 480.96309415370376
# mu_1 = 106.00530039753312
# mu_2 = 480.96309415370376
# T = 0.0861733
# n = 10
# m3 = 0
# neval = 5000000
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,2.311834766607392207e+07,6.080680692725371046e+04
5.000000000000000278e-02,4.934686961007919908e+07,1.302804005490054988e+05
2.500000000000000000e-01,4.884854840524804592e+08,1.463335740324798506e+06
3.499999999999999778e-01,7.458126648387161493e+08,2.489913518650823738e+06
4.500000000000000111e-01,1.093888562830268621e+09,4.307285477177169174e+06
5.699999999999999512e-01,1.738871960573617935e+09,9.031636431136906147e+06
6.600000000000000311e-01,2.576569004730898380e+09,1.758703339810875803e+07
7.399999999999999911e-01,3.955841977288596153e+09,3.859791221188771725e+07
8.199999999999999512e-01,7.506920297456644058e+09,1.176298007713732272e+08
9.000000000000000222e-01,2.039668148893629456e+10,6.273215696605051756e+08
