# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# pFa = 193.5970754338753
# pFb = 225.7671563397886
# pF1 = 162.00027388109442
# pF2 = 225.76715633978853
# mu_a = 193.59774982563616
# mu_b = 783.835248116998
# mu_1 = 193.59774982563616
# mu_2 = 783.835248116998
# T = 0.0861733
# beta_F_mu = 0.836788
# n = 10
# neval = 1000000
# Columns:m3,emissivity (ergs/cm^3/s),error
0.000000000000000000e+00,1.744316358448578262e+10,5.665956105321995020e+08
0.000000000000000000e+00,1.904951582642689514e+10,7.422917533008463383e+08
0.000000000000000000e+00,1.717628289906560707e+10,6.128993692710541487e+08
5.000000000000000278e-02,1.856890854051179886e+10,6.831690283264679909e+08
1.000000000000000056e-01,1.680247537442148018e+10,6.460435025728687048e+08
1.000000000000000056e-01,1.680482610239758492e+10,6.453013716229952574e+08
1.500000000000000222e-01,1.854875573653227997e+10,7.658909395901669264e+08
2.000000000000000111e-01,1.857122681421430588e+10,8.377853422454919815e+08
2.154434690031883370e-01,1.821817222667997742e+10,7.310523241783943176e+08
2.500000000000000000e-01,1.614293567472285652e+10,6.410665472699571848e+08
2.500000000000000000e-01,1.657802116691692543e+10,6.715665942784123421e+08
3.000000000000000444e-01,1.551127611173115921e+10,5.787437210756239891e+08
3.500000000000000333e-01,1.438773950879042625e+10,5.762499203266130686e+08
4.000000000000000222e-01,1.320186541296638489e+10,5.189257615526784062e+08
4.500000000000000111e-01,1.337593268872915268e+10,7.808224908814616203e+08
4.641588833612778631e-01,1.230534892927623940e+10,5.819330115896850824e+08
5.000000000000000000e-01,1.122381676913902664e+10,5.175309005278270245e+08
5.000000000000000000e-01,9.432707592961500168e+09,4.279176092451808453e+08
5.500000000000000444e-01,8.703797262378307343e+09,4.043392284630576372e+08
6.000000000000000888e-01,7.755171921749937057e+09,3.944338169031909704e+08
6.500000000000000222e-01,6.108120858027855873e+09,2.954627118281844258e+08
7.000000000000000666e-01,5.043493008320172310e+09,2.817922338020552993e+08
7.500000000000000000e-01,3.823501389488749981e+09,1.938773335640161037e+08
7.500000000000000000e-01,4.066686623009833813e+09,2.131049504252245128e+08
8.000000000000000444e-01,2.747780300335269451e+09,1.235101135701436102e+08
8.500000000000000888e-01,2.469544104839909077e+09,1.364280887814906240e+08
9.000000000000000222e-01,1.575015643373635530e+09,7.671309616769719124e+07
9.500000000000000666e-01,1.254384024121168613e+09,6.751003963223762810e+07
1.000000000000000000e+00,8.783488709445579052e+08,4.718194709848380834e+07
1.000000000000000000e+00,9.871942254746233225e+08,5.723729481497902423e+07
1.000000000000000000e+00,9.315862119852095842e+08,4.854995983599157631e+07
1.250000000000000000e+00,1.785077943807731271e+08,8.820090387337794527e+06
1.500000000000000000e+00,2.130969839242013916e+07,1.065905542278881883e+06
1.750000000000000000e+00,2.406046879912168719e+06,1.390446825934700610e+05
2.000000000000000000e+00,2.559406559801978001e+05,1.466861558030521337e+04
2.154434690031883370e+00,4.136367596238382248e+04,1.862418436824546916e+03
