# beta_F_mu = 0.836788
# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# m3 = 0
# pFa = 193.5970754338753
# pFb = 225.7671563397886
# pF1 = 162.00027388109442
# pF2 = 225.76715633978853
# mu_a = 193.59774982563616
# mu_b = 783.835248116998
# mu_1 = 193.59774982563616
# mu_2 = 783.835248116998
# neval = 1000000
# n = 1
# Columns:n,emissivity (ergs/cm^3/s),error
1.000000000000000000e+00,1.583753321437060892e+27,1.196539035298314836e+24
3.000000000000000000e+00,1.086259588145213405e+29,9.131922538158414134e+25
5.000000000000000000e+00,3.191546556791358044e+29,3.186918690891605098e+26
7.000000000000000000e+00,4.707550084319324306e+29,6.032478785065843998e+26
9.000000000000000000e+00,5.400302594443997087e+29,7.610917480361040842e+26
1.100000000000000000e+01,5.655512790658302455e+29,9.386228982809011519e+26
1.300000000000000000e+01,5.726467290895806778e+29,9.601921818578249186e+26
1.500000000000000000e+01,5.759546687215816080e+29,1.145682108168735990e+27
1.700000000000000000e+01,5.727774208209557247e+29,1.008502517666568352e+27
1.900000000000000000e+01,5.753782272812763366e+29,1.101013295499825000e+27
2.100000000000000000e+01,5.760806800309742355e+29,1.132709633867514956e+27
2.300000000000000000e+01,5.742856679630489882e+29,1.151053579554143477e+27
2.500000000000000000e+01,5.732765604448711024e+29,1.072219057272591920e+27
2.700000000000000000e+01,5.775462981082133666e+29,1.350980412022970204e+27
2.900000000000000000e+01,5.740355825786372962e+29,1.167705687244728434e+27
