# beta_F_mu = 0.836788
# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# m3 = 0
# pFa = 193.5970754338753
# pFb = 225.7671563397886
# pF1 = 162.00027388109442
# pF2 = 225.76715633978853
# mu_a = 193.59774982563616
# mu_b = 783.835248116998
# mu_1 = 193.59774982563616
# mu_2 = 783.835248116998
# neval = 1000000
# n = 1
# Columns:n,emissivity (ergs/cm^3/s),error
1.000000000000000000e+00,2.745777938198930025e+08,6.945448161860011518e+06
3.000000000000000000e+00,5.124807697158415794e+09,1.398337209510173202e+08
5.000000000000000000e+00,1.215777897337240410e+10,3.674222883111921549e+08
7.000000000000000000e+00,1.579985117972921371e+10,4.788714020348446965e+08
9.000000000000000000e+00,1.819826672122860718e+10,7.112680865368877649e+08
1.100000000000000000e+01,1.719565955428551483e+10,5.956796737848024368e+08
1.300000000000000000e+01,1.703449063597163963e+10,6.238357290859453678e+08
1.500000000000000000e+01,2.018682165895764923e+10,9.283226276148685217e+08
1.700000000000000000e+01,1.723166206546545029e+10,7.980283120137227774e+08
1.900000000000000000e+01,1.764345756682001877e+10,8.774019686998466253e+08
2.100000000000000000e+01,1.628225634391973495e+10,8.668739526727206707e+08
2.300000000000000000e+01,1.606929581819725037e+10,7.740612961606770754e+08
2.500000000000000000e+01,1.663261779111509705e+10,6.823961490453794003e+08
2.700000000000000000e+01,1.478329403833979034e+10,5.994273023831467628e+08
2.900000000000000000e+01,1.514895599960954285e+10,7.112626126243065596e+08
