# beta_F_mu = 0.836788
# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# m3 = 0
# pFa = 193.5970754338753
# pFb = 225.7671563397886
# pF1 = 162.00027388109442
# pF2 = 225.76715633978853
# mu_a = 193.59774982563616
# mu_b = 783.835248116998
# mu_1 = 193.59774982563616
# mu_2 = 783.835248116998
# neval = 1000000
# n = 1
# Columns:n,emissivity (ergs/cm^3/s),error
1.000000000000000000e+00,2.784584927057134509e+08,4.987321142529428937e+06
2.000000000000000000e+00,1.953461685599439859e+09,3.543965942371983081e+07
3.000000000000000000e+00,5.245509519113342285e+09,9.909549324965466559e+07
4.000000000000000000e+00,8.738093071498008728e+09,1.713136289705924690e+08
5.000000000000000000e+00,1.222741347844349670e+10,2.383196930499005318e+08
6.000000000000000000e+00,1.497436834242472076e+10,2.939542322941530943e+08
7.000000000000000000e+00,1.583902535996795082e+10,3.134389973153543472e+08
8.000000000000000000e+00,1.727553870351955414e+10,3.643499493198645115e+08
9.000000000000000000e+00,1.819123751570840073e+10,3.773136654644044638e+08
1.000000000000000000e+01,1.860853048225347137e+10,4.198985058627400994e+08
1.100000000000000000e+01,1.895356875411763382e+10,4.211016273267004490e+08
1.200000000000000000e+01,1.872473019123437500e+10,4.260401174886003733e+08
1.300000000000000000e+01,1.866136654279843521e+10,4.347305573815488219e+08
1.400000000000000000e+01,1.852837196807212830e+10,4.341771787796311975e+08
1.500000000000000000e+01,1.843323167150125885e+10,4.501476196863934398e+08
