# T = 0.0861733
# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# pFa = 193.5970754338753
# pFb = 225.7671563397886
# pF1 = 162.00027388109442
# pF2 = 225.76715633978853
# mu_a = 193.59774982563616
# mu_b = 783.835248116998
# mu_1 = 193.59774982563616
# mu_2 = 783.835248116998
# neval = 1000000
# Columns:n,emissivity (ergs/cm^3/s),error
1.000000000000000000e+00,2.134958301782162781e+11,3.876383727935403824e+09
3.000000000000000000e+00,4.151825707051167969e+12,8.409226115266397095e+10
5.000000000000000000e+00,9.165411674479960938e+12,1.856184047102006226e+11
7.000000000000000000e+00,1.298527274442061523e+13,3.024536889423486938e+11
9.000000000000000000e+00,1.341299630042256445e+13,3.051519655699364624e+11
1.100000000000000000e+01,1.448094910574496484e+13,3.589490034645540161e+11
1.300000000000000000e+01,1.438562777680883789e+13,4.081651283550487061e+11
1.500000000000000000e+01,1.547054724964048633e+13,4.829948961205290527e+11
1.700000000000000000e+01,1.365486005600863477e+13,3.700448268682926636e+11
1.900000000000000000e+01,1.387738586866606641e+13,4.010996354347169189e+11
2.100000000000000000e+01,1.436051195757423047e+13,4.914300368531995850e+11
5.000000000000000000e-01,2.747873091667443085e+10,4.787721830705761909e+08
8.750000000000000000e-01,1.462220167646947021e+11,2.590524780702947140e+09
1.250000000000000000e+00,3.994774730031248169e+11,6.973897630469604492e+09
1.625000000000000000e+00,8.631777956415843506e+11,1.617722471288685989e+10
2.000000000000000000e+00,1.515295044596879883e+12,2.890511054062126923e+10
