# beta_F_mu = 0.836788
# ma = 0.511
# mb = 106.0
# m1 = 106.0
# m2 = 106.0
# m3 = 0
# pFa = 193.5970754338753
# pFb = 162.00027388109442
# pF1 = 162.00027388109442
# pF2 = 162.00027388109442
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# neval = 1000000
# n = 10
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,1.324726578327796593e-09,5.305570530772297174e-10
2.154434690031883232e-02,3.751038302534759413e-06,1.112657176405825593e-06
4.641588833612777382e-02,2.754621363777174682e-03,5.332925807420346373e-04
1.000000000000000056e-01,4.661337652716064817e+00,7.027493085522626970e-01
2.154434690031883370e-01,2.965124505926965867e+03,3.680259684648921166e+02
4.641588833612777520e-01,1.960477012664052425e+06,1.669667794677409402e+05
1.000000000000000000e+00,1.024112126030832052e+09,5.714084745085921139e+07
2.154434690031882038e+00,5.098593564571043091e+11,2.032570974737200165e+10
4.641588833612777520e+00,2.425380402181582188e+14,5.991611481717344727e+12
1.000000000000000000e+01,1.168252328303616960e+17,2.113218673929639750e+15
2.154434690031882127e+01,9.716233637600477184e+19,1.468107476588118272e+18
4.641588833612777165e+01,5.253611398478842089e+22,4.547490610421617132e+20
1.000000000000000000e+02,1.256600525492031265e+25,8.970754532553415406e+22
1.000000000000000021e-02,3.997132359619372838e-09,1.414737728983194888e-09
2.154434690031883232e-02,1.244600544626077475e-05,3.112866139249610416e-06
4.641588833612777382e-02,8.052846498836993203e-03,1.333057138091569768e-03
1.000000000000000056e-01,7.133155420424588833e+00,8.495223702881916639e-01
2.154434690031883370e-01,4.146211560476006525e+03,5.241436361264413790e+02
4.641588833612777520e-01,2.151115905234307982e+06,1.746401940685440786e+05
1.000000000000000000e+00,1.102601209137165546e+09,6.225098645254531503e+07
2.154434690031882038e+00,4.988263539828723755e+11,1.753340554074369812e+10
4.641588833612777520e+00,2.254659674947578125e+14,5.303518959731057617e+12
1.000000000000000000e+01,1.157116182516837760e+17,1.754652248221467750e+15
2.154434690031882127e+01,9.752040040623672525e+19,1.333126087934481920e+18
4.641588833612777165e+01,5.283937913608319323e+22,4.897107307522905866e+20
1.000000000000000000e+02,1.243625000783869468e+25,9.972544765747166970e+22
