# beta_F_mu = 0.3
# ma = 0.511
# mb = 106.0
# m1 = 106.0
# m2 = 106.0
# m3 = 0
# pFa = 111.11701771669696
# pFb = 33.335457807756995
# pF1 = 33.335457807756995
# pF2 = 33.335457807757
# mu_a = 111.11819269252334
# mu_b = 111.11819269252334
# mu_1 = 111.11819269252334
# mu_2 = 111.11819269252334
# neval = 1000000
# n = 10
# Columns:n,emissivity (ergs/cm^3/s),error
2.999999999999999889e-01,5.765856699554187442e+28,3.720662391169506769e+26
3.224137931034482540e-01,6.013089099999431044e+28,4.559127536705314555e+26
3.448275862068965192e-01,6.246750554816064289e+28,4.707016870845503551e+26
3.672413793103448398e-01,6.484798742038009010e+28,4.833640348487118764e+26
3.896551724137931050e-01,6.673104158585608913e+28,4.391105938421098590e+26
4.120689655172413701e-01,7.115819449322604697e+28,5.397836906440037556e+26
4.344827586206896353e-01,7.324505746266831608e+28,5.058550733325643692e+26
4.568965517241379004e-01,7.978735574417199350e+28,6.822084553760111140e+26
4.793103448275861656e-01,8.262200744232475234e+28,5.316483680277595715e+26
5.017241379310344307e-01,8.986758054916657873e+28,6.940851464224747207e+26
5.241379310344826958e-01,9.459337540762619685e+28,6.785548261302466774e+26
5.465517241379309610e-01,1.034210872624025209e+29,8.438773066343802979e+26
5.689655172413792261e-01,1.116026211962288438e+29,8.433973509197490604e+26
5.913793103448274913e-01,1.221897209816773658e+29,8.292959532078281072e+26
6.137931034482757564e-01,1.358672211113022111e+29,1.032652065131317553e+27
6.362068965517240215e-01,1.510216964544348877e+29,1.261425244069200255e+27
6.586206896551722867e-01,1.695840292519533647e+29,1.466231481395131333e+27
6.810344827586205518e-01,1.939369891852739983e+29,1.861027924031508421e+27
7.034482758620688170e-01,2.246238465580359463e+29,1.611444823037275225e+27
7.258620689655170821e-01,2.617700232180500821e+29,2.571308715996491424e+27
7.482758620689653473e-01,3.118393964428810419e+29,2.707971869719374621e+27
7.706896551724137234e-01,3.792288056904507148e+29,2.888728675437906191e+27
7.931034482758619886e-01,4.872813431653954783e+29,4.996435991711472911e+27
8.155172413793101427e-01,6.244309587562754578e+29,5.825301417657684671e+27
8.379310344827586299e-01,8.563152309957991953e+29,9.339077391308466093e+27
8.603448275862068950e-01,1.181427456347344922e+30,1.247873988097185359e+28
8.827586206896551602e-01,1.781980923912459070e+30,1.625163768222067555e+28
9.051724137931034253e-01,3.078715343921259704e+30,4.650217279648010343e+28
9.275862068965516904e-01,5.856160729392269898e+30,9.858809283341307024e+28
9.499999999999999556e-01,1.376665419785659984e+31,2.741808063173549557e+29
