# T = 0.0861733
# ma = 0.511
# mb = 106.0
# m1 = 106.0
# m2 = 106.0
# m3 = 0
# pFa = 113.15607488578952
# pFb = 39.60503004112488
# pF1 = 39.60503004112488
# pF2 = 39.6050300411249
# mu_a = 113.15722868892824
# mu_b = 113.15722868892824
# mu_1 = 113.15722868892824
# mu_2 = 113.15722868892824
# neval = 5000000
# n = 10
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
3.499999999999999778e-01,3.310733380213611294e+06,2.551597926512512640e+04
3.689655172413792705e-01,7.500856601352166384e+06,3.978957946503814310e+04
3.879310344827586188e-01,1.170518310248379037e+07,5.524244985389417707e+04
4.068965517241379115e-01,1.605810304963788390e+07,7.179070824790078041e+04
4.258620689655172598e-01,2.058449517539194971e+07,8.996302561085854541e+04
4.448275862068965525e-01,2.564655037002504244e+07,1.115731672781821690e+05
4.637931034482758452e-01,3.135198139127514511e+07,1.370133504895184597e+05
4.827586206896551380e-01,3.754992611858249456e+07,1.663233235744935228e+05
5.017241379310344307e-01,4.443700572656376660e+07,1.994440570037107391e+05
5.206896551724138344e-01,5.223329923157954961e+07,2.421461064939461648e+05
5.396551724137931272e-01,6.199851723898407817e+07,2.949643445026718546e+05
5.586206896551724199e-01,7.207089342252288759e+07,3.566935855634222389e+05
5.775862068965517127e-01,8.558071272227352858e+07,4.377786839230764890e+05
5.965517241379310054e-01,9.952093829306605458e+07,5.336222408300178358e+05
6.155172413793104091e-01,1.159880799964559227e+08,6.426204995651631616e+05
6.344827586206897019e-01,1.364512578137905300e+08,8.088768412131137447e+05
6.534482758620689946e-01,1.621687575389090776e+08,1.004297912160973647e+06
6.724137931034482873e-01,1.930621873303318918e+08,1.276874713717696955e+06
6.913793103448275801e-01,2.288405218473902047e+08,1.607933024994783103e+06
7.103448275862069838e-01,2.741322010831211209e+08,2.036558043530558934e+06
7.293103448275862766e-01,3.382865777983514071e+08,2.732395538337465841e+06
7.482758620689655693e-01,4.100810131449237466e+08,3.565959665042138658e+06
7.672413793103448620e-01,5.051275204446899295e+08,4.844304292197692208e+06
7.862068965517241548e-01,6.283183931679897308e+08,6.474131013369047083e+06
8.051724137931035585e-01,8.115590590486708879e+08,9.210236430052725598e+06
8.241379310344827402e-01,1.061653977948705316e+09,1.354445887496518902e+07
8.431034482758621440e-01,1.396684414803929329e+09,1.957124705209716782e+07
8.620689655172414367e-01,1.941734177064357519e+09,3.147492681101875752e+07
8.810344827586207295e-01,2.770006412658849239e+09,4.821825517111460119e+07
9.000000000000000222e-01,8.467360168672246000e+15,7.002554514411068750e+14
