# T = 0.0861733
# ma = 0.511
# mb = 106.0
# m1 = 106.0
# m2 = 106.0
# m3 = 0
# pFa = 113.15607488578952
# pFb = 39.60503004112488
# pF1 = 39.60503004112488
# pF2 = 39.6050300411249
# mu_a = 113.15722868892824
# mu_b = 113.15722868892824
# mu_1 = 113.15722868892824
# mu_2 = 113.15722868892824
# neval = 10000000
# n = 10
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
3.499999999999999778e-01,3.278600896731439047e+06,1.627197312434432934e+04
3.624999999999999889e-01,6.019426456943762489e+06,2.199181187237083213e+04
3.750000000000000000e-01,8.711394549174796790e+06,2.754970729697374190e+04
3.875000000000000111e-01,1.152274942129893042e+07,3.361265712255221297e+04
4.000000000000000222e-01,1.430831669883255847e+07,3.989491482730633288e+04
4.550000000000000155e-01,2.840469886298796162e+07,7.592930848039660486e+04
5.100000000000000089e-01,4.745272049325386435e+07,1.348640165084931941e+05
5.649999999999999467e-01,7.613465263078415394e+07,2.398305213523770217e+05
6.199999999999999956e-01,1.206108820392279029e+08,4.302698525031241588e+05
6.750000000000000444e-01,1.953509049246779978e+08,8.235350916842040606e+05
7.299999999999999822e-01,3.351864946138769388e+08,1.715312696568748914e+06
7.849999999999999201e-01,6.174577102660712004e+08,4.038239242235962301e+06
8.399999999999999689e-01,1.353554276832985401e+09,1.170288252948020399e+07
8.950000000000000178e-01,3.773214861997079849e+09,4.972426158270088583e+07
9.499999999999999556e-01,2.367039777033611679e+10,6.093791603473781347e+08
0.000000000000000000e+00,0.000000000000000000e+00,7.071067811865475201e-130
2.435897435897435917e-02,0.000000000000000000e+00,7.071067811865475201e-130
4.871794871794871834e-02,0.000000000000000000e+00,7.071067811865475201e-130
7.307692307692308098e-02,0.000000000000000000e+00,7.071067811865475201e-130
9.743589743589743668e-02,0.000000000000000000e+00,7.071067811865475201e-130
1.217948717948717924e-01,0.000000000000000000e+00,7.071067811865475201e-130
1.461538461538461620e-01,0.000000000000000000e+00,7.071067811865475201e-130
1.705128205128205177e-01,0.000000000000000000e+00,7.071067811865475201e-130
1.948717948717948734e-01,0.000000000000000000e+00,7.071067811865475201e-130
2.192307692307692291e-01,0.000000000000000000e+00,7.071067811865475201e-130
2.435897435897435848e-01,0.000000000000000000e+00,7.071067811865475201e-130
2.679487179487179405e-01,0.000000000000000000e+00,7.071067811865475201e-130
2.923076923076923239e-01,0.000000000000000000e+00,7.071067811865475201e-130
3.166666666666666519e-01,8.676761450518839097e-03,4.203877998573306361e-04
3.410256410256410353e-01,2.695049114261562936e+06,2.225568636229940967e+04
3.653846153846153633e-01,1.330602697678479552e+07,4.668562845996289980e+04
3.897435897435897467e-01,2.387248357108954713e+07,6.904327477239383734e+04
4.141025641025641302e-01,3.493960838749790192e+07,9.450553544098405109e+04
4.384615384615384581e-01,4.754449798192551732e+07,1.266370415531191975e+05
4.628205128205128416e-01,6.136245670059412718e+07,1.642740418291168753e+05
4.871794871794871695e-01,7.759445030004860461e+07,2.141801713145895337e+05
5.115384615384614975e-01,9.607744740747943521e+07,2.743545674621259095e+05
5.358974358974358809e-01,1.198621236586096138e+08,3.570075459978213767e+05
5.602564102564102644e-01,1.458081027710777521e+08,4.547238123166986043e+05
5.846153846153846478e-01,1.786848995166450739e+08,5.866466886910413159e+05
6.089743589743590313e-01,2.197034877474606633e+08,7.664155677367628086e+05
6.333333333333333037e-01,2.707448957957249284e+08,1.005906463640375528e+06
6.576923076923076872e-01,3.340306096703981161e+08,1.324873138079445809e+06
6.820512820512820706e-01,4.182674605252063870e+08,1.801699850382173900e+06
7.064102564102564541e-01,5.260291477093511224e+08,2.457129942466992419e+06
7.307692307692307265e-01,6.673062298802375793e+08,3.447764456768841948e+06
7.551282051282051100e-01,8.790558289438190460e+08,4.977441669506444596e+06
7.794871794871794934e-01,1.149662134226219893e+09,7.322696435840690508e+06
8.038461538461538769e-01,1.548439318013396740e+09,1.101227354829461686e+07
8.282051282051282604e-01,2.243871525260773182e+09,1.868825257376553863e+07
8.525641025641025328e-01,3.284417202462458134e+09,3.056398678509993106e+07
8.769230769230769162e-01,5.309494013204400063e+09,6.196902613317806274e+07
9.012820512820512997e-01,8.901570082759225845e+09,1.228557136559284925e+08
9.256410256410256832e-01,1.769880415254301071e+10,3.152654015018188357e+08
9.499999999999999556e-01,4.743603841006217194e+10,1.178426536003082275e+09
