# beta_F_mu = 0.35
# ma = 0.511
# mb = 106.0
# m1 = 106.0
# m2 = 106.0
# m3 = 0
# pFa = 113.15607488578952
# pFb = 39.60503004112488
# pF1 = 39.60503004112488
# pF2 = 39.6050300411249
# mu_a = 113.15722868892824
# mu_b = 113.15722868892824
# mu_1 = 113.15722868892824
# mu_2 = 113.15722868892824
# neval = 1000000
# n = 10
# Columns:n,emissivity (ergs/cm^3/s),error
3.499999999999999778e-01,2.983652739310174249e+06,1.317235409201243310e+05
3.706896551724137567e-01,7.608628515983973630e+06,2.315906082664374553e+05
3.913793103448275357e-01,1.208731380897398666e+07,3.044554000040403917e+05
4.120689655172413701e-01,1.655556411297999136e+07,3.998064440422135522e+05
4.327586206896551491e-01,2.134190180387550592e+07,5.060807577401038725e+05
4.534482758620689280e-01,2.796152213059769943e+07,6.523774481707244413e+05
4.741379310344827624e-01,3.239976157863561809e+07,7.452319815390330041e+05
4.948275862068965414e-01,4.177075527792515606e+07,1.020162406668085721e+06
5.155172413793103203e-01,5.252881729671622813e+07,1.289479493255696259e+06
5.362068965517241548e-01,5.871978756531809270e+07,1.377098941568345530e+06
5.568965517241378782e-01,7.123819198935189843e+07,1.783215892152497312e+06
5.775862068965517127e-01,8.096675639555577934e+07,2.155640286250406411e+06
5.982758620689654361e-01,9.946333365376847982e+07,2.773151985056027304e+06
6.189655172413792705e-01,1.124082043198538870e+08,3.394978396610975266e+06
6.396551724137931050e-01,1.386840750060513616e+08,4.084134027635470033e+06
6.603448275862069394e-01,1.605205235234943330e+08,5.090611510599101894e+06
6.810344827586206629e-01,2.031201484035589099e+08,7.185141261548769660e+06
7.017241379310343863e-01,2.431603312284628451e+08,9.015408743545675650e+06
7.224137931034482207e-01,2.706872188645551205e+08,9.726185650885906070e+06
7.431034482758620552e-01,3.721719015809404850e+08,1.340647814869721793e+07
7.637931034482758896e-01,4.220720793889545798e+08,1.727738476831701025e+07
7.844827586206896131e-01,5.736945357699677944e+08,2.654736881793123111e+07
8.051724137931034475e-01,7.254504421596922874e+08,3.648076613062778115e+07
8.258620689655171709e-01,9.657022587695490122e+08,5.605462326288404316e+07
8.465517241379310054e-01,1.224829210100724697e+09,7.790805341404041648e+07
8.672413793103448398e-01,1.685001135511513233e+09,1.081073000667119473e+08
8.879310344827585633e-01,2.854582908671662331e+09,2.516434172875146270e+08
9.086206896551723977e-01,4.526641387163675308e+09,4.291236411160115004e+08
9.293103448275862322e-01,4.929640628975370407e+09,4.769945820710783601e+08
9.499999999999999556e-01,1.268262013150095367e+10,1.304100221519127369e+09
