# ma = 0.511
# mb = 106.0
# m1 = 106.0
# m2 = 106.0
# pFa = 193.5970754338753
# pFb = 162.00027388109442
# pF1 = 162.00027388109442
# pF2 = 162.00027388109442
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# beta_F_mu = 0.836788
# n = 10
# m3 = 0
# neval = 10000000
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,3.342628976161919751e-08,1.065340209494800960e-09
1.000000000000000056e-01,3.157406233952595009e+00,3.103667545888768101e-02
1.000000000000000000e+00,3.099010432219059467e+08,2.810432063668396324e+06
2.154434690031883814e+00,1.433320248675642395e+11,8.192868632286186218e+08
4.641588833612778409e+00,6.525265107703526562e+13,2.328878539469294434e+11
1.000000000000000000e+01,2.932029558199773200e+16,6.161603752168503906e+13
2.154434690031883193e+01,1.341085421704982323e+19,1.558777947810107400e+16
4.641588833612777165e+01,5.736485878717350937e+21,3.739547717876830208e+18
1.000000000000000000e+02,1.972857743478366975e+24,8.153439796844403098e+20
2.154434690031882269e+02,5.147704075159236865e+26,1.707257808286564399e+23
4.641588833612777307e+02,1.127819611449975952e+29,4.580152359792115835e+25
1.000000000000000000e+03,4.494674524632513678e+31,3.343687965952271724e+28
2.000000000000000000e+03,2.416387430524110026e+34,1.089794632317105061e+31
3.000000000000000455e+03,1.238309094948918294e+36,9.265739002741118671e+32
4.000000000000000000e+03,2.219491817220318914e+37,2.200019273112665271e+34
1.000000000000000000e+04,2.818460617037243999e+41,2.857005265859791478e+39
