# ma = 0.511
# mb = 106.0
# m1 = 106.0
# m2 = 106.0
# pFa = 193.5970754338753
# pFb = 162.00027388109442
# pF1 = 162.00027388109442
# pF2 = 162.00027388109442
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# beta_F_mu = 0.836788
# n = 10
# m3 = 0
# neval = 50000000
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,1.194554946417959892e-07,1.093312090299306853e-08
1.000000000000000056e-01,1.232669374994078737e+01,3.881589268056284681e-01
1.000000000000000000e+00,1.278497795816869974e+09,1.261513377298299968e+07
2.154434690031883814e+00,5.781710975567751465e+11,3.585103212176234245e+09
4.641588833612778409e+00,2.593632541871536875e+14,9.247087185270537109e+11
1.000000000000000000e+01,1.201292879521236960e+17,2.465790169917588750e+14
2.154434690031883193e+01,9.827070689415323648e+19,1.349051586702144160e+17
4.641588833612777165e+01,5.427525150892576106e+22,7.049298591272803533e+19
1.000000000000000000e+02,1.274305070910899457e+25,1.026372923467847696e+22
2.154434690031882269e+02,2.312789213491570864e+27,1.496146087872375009e+24
4.641588833612777307e+02,4.973078622881012237e+29,5.702430698104390647e+26
1.000000000000000000e+03,2.496990202972423533e+32,1.257687294892912463e+30
1.000000000000000000e+04,1.727637085679645015e+42,1.081354639133357442e+41
