# ma = 0.511
# mb = 106.0
# m1 = 106.0
# m2 = 106.0
# pFa = 193.5970754338753
# pFb = 162.00027388109442
# pF1 = 162.00027388109442
# pF2 = 162.00027388109442
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# beta_F_mu = 0.836788
# n = 10
# m3 = 0
# neval = 50000000
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,9.216108810136819361e-08,7.725253516826696053e-09
1.000000000000000056e-01,1.291808514168676858e+01,4.140840930391631036e-01
1.000000000000000000e+00,1.262800006358478546e+09,1.243438787199808843e+07
2.154434690031883814e+00,5.744601295472794189e+11,3.355996715553779602e+09
4.641588833612778409e+00,2.571694635568906562e+14,9.706240614459459229e+11
1.000000000000000000e+01,1.196564401308081760e+17,2.309153857445458750e+14
2.154434690031883193e+01,9.879272514706351718e+19,1.735695290062616000e+17
4.641588833612777165e+01,5.413872397530959131e+22,6.297605129037823181e+19
1.000000000000000000e+02,1.274878076281701440e+25,1.070354892442082004e+22
2.154434690031882269e+02,2.316772390147926435e+27,1.751587368216336026e+24
4.641588833612777307e+02,4.974479373704723479e+29,6.034846879709062137e+26
1.000000000000000000e+03,2.493133779157021979e+32,1.089316561632344012e+30
