# ma = 0.511
# mb = 106.0
# m1 = 106.0
# m2 = 106.0
# pFa = 111.11701771669696
# pFb = 33.335457807756995
# pF1 = 33.335457807756995
# pF2 = 33.335457807757
# mu_a = 111.11819269252334
# mu_b = 111.11819269252334
# mu_1 = 111.11819269252334
# mu_2 = 111.11819269252334
# T = 43.08665
# n = 10
# m3 = 0
# neval = 1000000
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
2.999999999999999889e-01,5.740267997240538922e+28,3.684270531575650181e+26
3.224137931034482540e-01,5.928145133290996082e+28,3.916441093569058586e+26
3.448275862068965192e-01,6.129751627310406810e+28,4.181628245025126401e+26
3.672413793103448398e-01,6.402088862188313439e+28,4.558834682501286302e+26
3.896551724137931050e-01,6.673344783675575670e+28,4.937656737432965048e+26
4.120689655172413701e-01,7.094701218331136916e+28,5.380508900086976963e+26
4.344827586206896353e-01,7.393907382768052648e+28,4.769919070255298945e+26
4.568965517241379004e-01,7.811306343391750176e+28,4.914688150552465394e+26
4.793103448275861656e-01,8.373165828729485352e+28,6.396658351039651502e+26
5.017241379310344307e-01,8.974035965077747709e+28,8.127379332010406088e+26
5.241379310344826958e-01,9.398892381043916245e+28,5.747201264295737061e+26
5.465517241379309610e-01,1.030226969622334241e+29,8.454503228737833753e+26
5.689655172413792261e-01,1.110103659239111075e+29,7.815452785959734635e+26
5.913793103448274913e-01,1.224466071522372242e+29,8.586700919642014372e+26
6.137931034482757564e-01,1.361004396249394564e+29,1.034251696790672707e+27
6.362068965517240215e-01,1.482713309727156964e+29,1.107597354218252453e+27
6.586206896551722867e-01,1.689840126047224951e+29,1.534817357351782498e+27
6.810344827586205518e-01,1.942164899944372239e+29,1.450703863987184482e+27
7.034482758620688170e-01,2.253523085616757708e+29,1.871283789260025791e+27
7.258620689655170821e-01,2.600231033843990267e+29,2.006854024096977785e+27
7.482758620689653473e-01,3.181432211775537730e+29,2.665452086133020049e+27
7.706896551724137234e-01,3.799397070462255983e+29,3.199325081560651998e+27
7.931034482758619886e-01,4.739976396187331449e+29,3.759864739502689936e+27
8.155172413793101427e-01,6.287043818436655784e+29,5.266600743293986017e+27
8.379310344827586299e-01,8.557281133156064174e+29,9.127834988741380898e+27
8.603448275862068950e-01,1.216378031869424479e+30,1.492456595070422245e+28
8.827586206896551602e-01,1.826756112054949291e+30,2.268065309584943999e+28
9.051724137931034253e-01,2.979700575689643549e+30,3.313924819418774303e+28
9.275862068965516904e-01,5.551517040863216293e+30,1.077871129347849435e+29
9.499999999999999556e-01,1.365124946457548840e+31,2.844763185039887114e+29
