# ma = 0.511
# mb = 106.0
# m1 = 106.0
# m2 = 106.0
# pFa = 106.0040687491345
# pFb = 1.0600530039753313
# pF1 = 1.0600530039753313
# pF2 = 1.060053003974062
# mu_a = 106.00530039753312
# mu_b = 106.00530039753312
# mu_1 = 106.00530039753312
# mu_2 = 106.00530039753312
# T = 0.0861733
# n = 10
# m3 = 0
# neval = 10000000
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,0.000000000000000000e+00,9.999999999999999259e-130
5.000000000000000278e-02,0.000000000000000000e+00,9.999999999999999259e-130
2.500000000000000000e-01,0.000000000000000000e+00,9.999999999999999259e-130
3.499999999999999778e-01,2.423321513018357567e+06,2.031714682667654779e+04
4.500000000000000111e-01,1.950726343359526247e+07,8.268694125445956888e+04
5.699999999999999512e-01,5.083755306197804213e+07,2.426875770970192389e+05
6.600000000000000311e-01,9.313438701229207218e+07,5.227387265907697729e+05
7.399999999999999911e-01,1.597367198865525424e+08,1.101246301831926452e+06
8.199999999999999512e-01,2.761051128000742793e+08,2.308157647241874598e+06
9.000000000000000222e-01,4.862867820483933687e+08,5.806670932972090319e+06
