# ma = 0.511
# mb = 106.0
# m1 = 106.0
# m2 = 106.0
# pFa = 111.11701771669696
# pFb = 33.335457807756995
# pF1 = 33.335457807756995
# pF2 = 33.335457807757
# mu_a = 111.11819269252334
# mu_b = 111.11819269252334
# mu_1 = 111.11819269252334
# mu_2 = 111.11819269252334
# T = 0.0008617329999999999
# n = 10
# m3 = 0
# neval = 1000000
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
2.999999999999999889e-01,0.000000000000000000e+00,9.999999999999999259e-130
3.722222222222222321e-01,1.026628807710046762e-10,3.578975718665647364e-11
4.444444444444444198e-01,2.192369840967007492e-10,6.118818276545204754e-11
5.166666666666666075e-01,7.903198576855987043e-10,1.986385357004040032e-10
5.888888888888887951e-01,1.593373093196399969e-09,4.140609313515328553e-10
6.611111111111109828e-01,1.214471812033632266e-09,2.626247602639542913e-10
7.333333333333332815e-01,1.448268323437743876e-10,6.615516288734205925e-11
8.055555555555555802e-01,2.631794789694989251e-09,7.388728886576522370e-10
8.777777777777777679e-01,1.712806973789074533e-08,4.951049156655686202e-09
9.499999999999999556e-01,1.823090630024462675e-11,8.951919976417412424e-12
