# ma = 0.511
# mb = 106.0
# m1 = 106.0
# m2 = 106.0
# pFa = 193.5970754338753
# pFb = 162.00027388109442
# pF1 = 162.00027388109442
# pF2 = 162.00027388109442
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# T = 0.0861733
# beta_F_mu = 0.836788
# n = 10
# neval = 1000000
# Columns:m3,emissivity (ergs/cm^3/s),error
0.000000000000000000e+00,1.190762047251522303e+09,7.608647139122921228e+07
0.000000000000000000e+00,1.003532033072196841e+09,5.277819029968181252e+07
0.000000000000000000e+00,1.177866956253573895e+09,7.642919996923545003e+07
5.000000000000000278e-02,1.025418006108297825e+09,5.292125699472900480e+07
1.000000000000000056e-01,1.237423618839924335e+09,7.630466713860903680e+07
1.000000000000000056e-01,9.411029013052994013e+08,5.009502467777780443e+07
1.500000000000000222e-01,1.104517930936617613e+09,6.472170384880313277e+07
2.000000000000000111e-01,1.033926762695452213e+09,6.116121111606074870e+07
2.154434690031883370e-01,1.000241794557566047e+09,5.709756674497130513e+07
2.500000000000000000e-01,1.051580819658560157e+09,6.698994453133647144e+07
2.500000000000000000e-01,1.116348818792700052e+09,7.995280746587407589e+07
3.000000000000000444e-01,8.941939676352326870e+08,5.139444223191445321e+07
3.500000000000000333e-01,6.566187861152671576e+08,3.884099894298771024e+07
4.000000000000000222e-01,8.004972548228608370e+08,5.344028074250157923e+07
4.500000000000000111e-01,6.369628617553728819e+08,4.075994697015672922e+07
4.641588833612778631e-01,7.483549364943262339e+08,5.432158699895003438e+07
5.000000000000000000e-01,4.872231425058186650e+08,2.851489506927573681e+07
5.000000000000000000e-01,4.353414928720089793e+08,2.997302678504306823e+07
5.500000000000000444e-01,4.117546101839383245e+08,2.642362952179577574e+07
6.000000000000000888e-01,3.079477307073634863e+08,1.732173898857278377e+07
6.500000000000000222e-01,3.167365205748161077e+08,2.168557666630963981e+07
7.000000000000000666e-01,2.573168631125870347e+08,1.724094501877744868e+07
7.500000000000000000e-01,1.933475805334093571e+08,1.312140874238113500e+07
7.500000000000000000e-01,2.154732463405926526e+08,1.589289357417912781e+07
8.000000000000000444e-01,1.468072357174544334e+08,1.020262940044989996e+07
8.500000000000000888e-01,9.619826499372084439e+07,6.717197342246899381e+06
9.000000000000000222e-01,7.560888720028443635e+07,4.660399883913765661e+06
9.500000000000000666e-01,5.130036383193562180e+07,3.259506728169388603e+06
1.000000000000000000e+00,4.726053291006197780e+07,3.230991858477017377e+06
1.000000000000000000e+00,4.479358431810646504e+07,3.326707009590652306e+06
1.000000000000000000e+00,3.725555526978625357e+07,2.473526232294014189e+06
1.250000000000000000e+00,6.079034141704651527e+06,4.169770078851773287e+05
1.500000000000000000e+00,9.263249360407569911e+05,5.224176320499643771e+04
1.750000000000000000e+00,1.109966420711801620e+05,7.078667757568297020e+03
2.000000000000000000e+00,1.137458567899729678e+04,7.745690585337092671e+02
2.154434690031883370e+00,2.165907670464981038e+03,1.191463365906855358e+02
2.250000000000000000e+00,8.667281887455513925e+02,5.323270497145884406e+01
2.500000000000000000e+00,8.500508690357636965e+01,5.091028328217709564e+00
2.750000000000000000e+00,5.213091225293142728e+00,2.828247927655435645e-01
3.000000000000000000e+00,4.761083765431344816e-01,2.756318244678558627e-02
3.250000000000000000e+00,2.969364816833726384e-02,1.702271335281571379e-03
3.500000000000000000e+00,2.054587140995613268e-03,1.122399415958804563e-04
3.750000000000000000e+00,1.396246043254401709e-04,7.422005404658047148e-06
4.000000000000000000e+00,8.838109166903155371e-06,5.049844873116190641e-07
4.250000000000000000e+00,4.615788154376748650e-07,2.653903580863736216e-08
4.500000000000000000e+00,1.884323378346644673e-08,1.378094422707006030e-09
4.641588833612777520e+00,3.373795369220311471e-09,2.721892006437188507e-10
4.750000000000000000e+00,6.436272703587775116e-10,4.203300703961452603e-11
5.000000000000000000e+00,1.469717316525223778e-11,1.201056442894341736e-12
5.250000000000000000e+00,1.976657915382781018e-13,2.151224647637055894e-14
5.500000000000000000e+00,3.907659784588947134e-239,2.236067977499789626e-129
5.750000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
6.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
6.250000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
6.500000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
6.750000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
7.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
7.250000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
7.500000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
7.750000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
8.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
8.250000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
8.500000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
8.750000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
9.000000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
9.250000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
9.500000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
9.750000000000000000e+00,0.000000000000000000e+00,9.999999999999999259e-130
1.000000000000000000e+01,0.000000000000000000e+00,9.999999999999999259e-130
1.000000000000000000e+01,0.000000000000000000e+00,9.999999999999999259e-130
2.000000000000000000e+01,0.000000000000000000e+00,9.999999999999999259e-130
3.000000000000000000e+01,0.000000000000000000e+00,9.999999999999999259e-130
4.000000000000000000e+01,0.000000000000000000e+00,9.999999999999999259e-130
