# beta_F_mu = 0.836788
# ma = 0.511
# mb = 106.0
# m1 = 106.0
# m2 = 106.0
# m3 = 0
# pFa = 193.5970754338753
# pFb = 162.00027388109442
# pF1 = 162.00027388109442
# pF2 = 162.00027388109442
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# neval = 1000000
# n = 1
# Columns:n,emissivity (ergs/cm^3/s),error
1.000000000000000000e+00,2.804375365043251187e+27,8.948567007529915474e+24
3.000000000000000000e+00,1.321515507152074312e+29,6.127214567690989731e+26
5.000000000000000000e+00,4.488455779716438769e+29,2.836706746487429236e+27
7.000000000000000000e+00,7.033837476482394584e+29,6.407888843062969938e+27
9.000000000000000000e+00,8.275436404099403326e+29,8.962167016457998077e+27
1.100000000000000000e+01,8.656010036569319314e+29,1.055058443472494224e+28
1.300000000000000000e+01,8.447750250415746583e+29,9.573063422105272890e+27
1.500000000000000000e+01,8.544608143471166111e+29,9.018513934139380892e+27
1.700000000000000000e+01,8.550600481994509429e+29,9.099036580471809356e+27
1.900000000000000000e+01,8.644812818417085314e+29,9.803097657587538821e+27
2.100000000000000000e+01,8.563832480606396376e+29,8.849859813383443175e+27
2.300000000000000000e+01,8.505875692795502729e+29,8.933960967632171275e+27
2.500000000000000000e+01,8.363573514300344253e+29,8.589990664346356265e+27
2.700000000000000000e+01,8.277768806550422884e+29,7.946284180648007503e+27
2.900000000000000000e+01,8.501131954821515445e+29,1.024624896315516504e+28
