# beta_F_mu = 0.836788
# ma = 0.511
# mb = 106.0
# m1 = 106.0
# m2 = 106.0
# m3 = 0
# pFa = 193.5970754338753
# pFb = 162.00027388109442
# pF1 = 162.00027388109442
# pF2 = 162.00027388109442
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# neval = 1000000
# n = 1
# Columns:n,emissivity (ergs/cm^3/s),error
1.000000000000000000e+00,1.895176601742937416e+07,8.065914792468203232e+05
3.000000000000000000e+00,3.132021374392523170e+08,1.377805581454238109e+07
5.000000000000000000e+00,7.950458698655941486e+08,3.827388059731864184e+07
7.000000000000000000e+00,1.007289854322684646e+09,4.736101206575629860e+07
9.000000000000000000e+00,1.067848669088507414e+09,6.568197111127202213e+07
1.100000000000000000e+01,1.299741609135920525e+09,7.617088248700106144e+07
1.300000000000000000e+01,9.525154096488115788e+08,5.969408374276284128e+07
1.500000000000000000e+01,1.063066151819111824e+09,8.409006224666330218e+07
1.700000000000000000e+01,1.226448664521562338e+09,9.164383667440032959e+07
1.900000000000000000e+01,1.054602430734250665e+09,8.385195209746226668e+07
2.100000000000000000e+01,9.072946094290766716e+08,7.660091985013410449e+07
2.300000000000000000e+01,9.672995373777904510e+08,7.355041454819872975e+07
2.500000000000000000e+01,9.126858031010171175e+08,6.964670419115751982e+07
2.700000000000000000e+01,9.056598916406525373e+08,6.421465804488597810e+07
2.900000000000000000e+01,1.040116948128867626e+09,9.695081811499559879e+07
