# T = 0.0861733
# ma = 0.511
# mb = 750.617670528
# m1 = 106.0
# m2 = 750.617670528
# pFa = 193.5970754338753
# pFb = 225.7671563397886
# pF1 = 162.00027388109442
# pF2 = 225.76715633978853
# mu_a = 193.59774982563616
# mu_b = 783.835248116998
# mu_1 = 193.59774982563616
# mu_2 = 783.835248116998
# neval = 10000000n = 10
# Columns:m3,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,1.893941028947027969e+10,1.110604140863125622e+08
1.000000000000000056e-01,1.905331229078668976e+10,1.117538210365203321e+08
1.000000000000000000e+00,1.022256285388364911e+09,1.170651678984315321e+07
1.000000000000000000e+01,0.000000000000000000e+00,7.071067811865475201e-130
2.000000000000000000e+01,0.000000000000000000e+00,7.071067811865475201e-130
3.000000000000000000e+01,0.000000000000000000e+00,7.071067811865475201e-130
1.000000000000000000e+00,1.010570085083787441e+09,1.039122927809626237e+07
1.473684210526315708e+00,3.100390055869670957e+07,3.791266406413993682e+05
1.947368421052631415e+00,4.467145139643689618e+05,5.050546592311752647e+03
2.421052631578947345e+00,4.363372540388704692e+03,4.901434706464729629e+01
2.894736842105262831e+00,3.416186337509574145e+01,3.997125154290568916e-01
3.368421052631578760e+00,2.464799630387714546e-01,3.050703483044977377e-03
3.842105263157894690e+00,1.417252429388331453e-03,1.890771629474951771e-05
4.315789473684210620e+00,5.638237811049380024e-06,9.570713703334782475e-08
4.789473684210525661e+00,1.074062675838013138e-08,1.942333855774654810e-10
5.263157894736841591e+00,7.218282020377116741e-12,1.590370349059402967e-13
5.736842105263157521e+00,0.000000000000000000e+00,7.071067811865475201e-130
6.210526315789473450e+00,0.000000000000000000e+00,7.071067811865475201e-130
6.684210526315789380e+00,0.000000000000000000e+00,7.071067811865475201e-130
7.157894736842105310e+00,0.000000000000000000e+00,7.071067811865475201e-130
7.631578947368420351e+00,0.000000000000000000e+00,7.071067811865475201e-130
8.105263157894736281e+00,0.000000000000000000e+00,7.071067811865475201e-130
8.578947368421051323e+00,0.000000000000000000e+00,7.071067811865475201e-130
9.052631578947368141e+00,0.000000000000000000e+00,7.071067811865475201e-130
9.526315789473683182e+00,0.000000000000000000e+00,7.071067811865475201e-130
