# beta_F_mu = 0.836788
# ma = 106.0
# mb = 0.511
# m1 = 0.511
# m2 = 0.511
# m3 = 0
# pFa = 162.00027388109442
# pFb = 162.00027388109442
# pF1 = 162.00027388109442
# pF2 = 193.5970754338753
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# neval = 10000000
# n = 10
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000048e-04,2.121694275128476990e-226,3.162277660168379297e-129
2.335721469090121423e-04,1.332609967753598039e-28,5.840611885888503176e-29
5.455594781168520303e-04,8.120043506897815591e-23,2.208973100007577552e-23
1.274274985703133418e-03,8.467417332968854160e-19,2.548926624700998773e-19
2.976351441631318664e-03,2.208549994240687297e-13,4.097112140335219301e-14
6.951927961775605444e-03,1.549552180005498768e-09,1.741344757831917443e-10
1.623776739188721036e-02,4.484927837190071766e-06,3.274729865072145378e-07
3.792690190732250083e-02,5.806204548758786381e-03,2.902810516563433547e-04
8.858667904100822610e-02,5.307286478937379925e+00,1.831203914810511091e-01
2.069138081114788030e-01,4.518717786117832475e+03,9.424658378581169416e+01
4.832930238571752080e-01,4.311867481926107779e+06,6.144445621430483880e+04
1.128837891684688399e+00,4.001873489506174088e+09,3.687888708638379723e+07
2.636650898730355408e+00,3.711432931851753906e+12,2.206787808441773605e+10
6.158482110660254527e+00,3.946406922041894000e+15,1.597304181558292773e+13
1.438449888287662937e+01,6.936772093179827585e+21,1.018231875842740060e+21
3.359818286283780964e+01,1.271243694200150611e+26,1.849664113777228036e+25
7.847599703514606517e+01,3.947486148983666136e+28,6.965788422483122778e+27
1.832980710832433715e+02,1.689459673641092887e+31,2.357063543240841612e+30
4.281332398719387129e+02,5.096455697401518659e+33,4.907609833877040200e+32
1.000000000000000000e+03,1.050431367850868199e+36,1.365751792235839064e+35
