# beta_F_mu = 0.836788
# ma = 106.0
# mb = 0.511
# m1 = 0.511
# m2 = 0.511
# m3 = 0
# pFa = 162.00027388109442
# pFb = 162.00027388109442
# pF1 = 162.00027388109442
# pF2 = 193.5970754338753
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# neval = 1000000
# n = 10
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,1.979501761185662928e-09,8.239696641186797503e-10
2.154434690031883232e-02,1.109546161033669240e-05,2.649419181956500531e-06
4.641588833612777382e-02,5.029764650155889999e-03,8.050211917474629081e-04
1.000000000000000056e-01,4.722283796700960323e+00,6.796020699204043947e-01
2.154434690031883370e-01,4.645295901792241239e+03,6.031196173706036916e+02
4.641588833612777520e-01,2.330475291757899802e+06,1.682141737080491439e+05
1.000000000000000000e+00,1.196119243785576105e+09,6.843957313124014437e+07
2.154434690031882038e+00,6.850661981770944824e+11,2.855199318597434616e+10
4.641588833612777520e+00,3.647602159089515625e+14,1.073095371781295312e+13
1.000000000000000000e+01,5.562807072427352960e+17,7.429892677603588800e+16
2.154434690031882127e+01,5.888130862119757493e+22,1.553439008195559922e+22
4.641588833612777165e+01,2.423112364833679204e+25,3.675996136208118321e+24
1.000000000000000000e+02,4.157440848903790447e+27,7.092796433328782364e+26
1.000000000000000021e-02,6.307488028716986843e-10,2.730326900804244202e-10
2.154434690031883232e-02,2.688126698172590723e-05,7.029540761469048035e-06
4.641588833612777382e-02,5.307152555342999761e-03,9.979064270117449838e-04
1.000000000000000056e-01,1.169526024553356258e+01,1.786129308168365126e+00
2.154434690031883370e-01,5.424558057466111677e+03,6.114860373035696739e+02
4.641588833612777520e-01,2.437593945421731099e+06,2.032321326921319996e+05
1.000000000000000000e+00,1.217333650312776327e+09,7.270494317075422406e+07
2.154434690031882038e+00,6.721308444399619141e+11,2.793744692883222961e+10
4.641588833612777520e+00,3.647145036092718750e+14,8.679430827012862305e+12
1.000000000000000000e+01,8.094361023203810560e+17,9.590670200352708800e+16
2.154434690031882127e+01,9.458909625078073682e+22,1.666081491895111490e+22
4.641588833612777165e+01,3.260697631603934752e+25,9.556390119994322391e+24
1.000000000000000000e+02,8.675971256383627709e+27,1.579563282228958182e+27
