# beta_F_mu = 0.05
# ma = 106.0
# mb = 0.511
# m1 = 0.511
# m2 = 0.511
# m3 = 0
# pFa = 5.306637447810645
# pFb = 5.306637447810595
# pF1 = 5.306637447810595
# pF2 = 106.13151878684535
# mu_a = 106.13274895621288
# mu_b = 106.13274895621288
# mu_1 = 106.13274895621288
# mu_2 = 106.13274895621288
# neval = 1000000
# n = 10
# Columns:n,emissivity (ergs/cm^3/s),error
5.000000000000000278e-02,1.974688588442104686e+32,3.230427975067363873e+31
7.307692307692308098e-02,3.588997495347187415e+32,5.680299984927220635e+31
9.615384615384614531e-02,3.536356012808787065e+32,6.185482649910092358e+31
1.192307692307692235e-01,2.937056771507315227e+32,4.846524825967399778e+31
1.423076923076923017e-01,2.787801850630003724e+32,5.871350795469549413e+31
1.653846153846153799e-01,2.767847075971114699e+32,4.971426822849269253e+31
1.884615384615384581e-01,4.789484876821396386e+32,8.044565965744033220e+31
2.115384615384615086e-01,1.871290101650100128e+32,4.283043396653894657e+31
2.346153846153846145e-01,2.832058003116024386e+32,7.525152301676148468e+31
2.576923076923076650e-01,1.786050748671130327e+32,3.711624208065228659e+31
2.807692307692307709e-01,2.609119285178702990e+32,5.035048539695497681e+31
3.038461538461538214e-01,5.091563492486164637e+32,1.016761994149449732e+32
3.269230769230768718e-01,4.273376144899480803e+32,8.374298188159310517e+31
3.499999999999999778e-01,2.304407547634883268e+32,3.460993225118431204e+31
3.730769230769230282e-01,8.074438424687624212e+32,1.475723626129887325e+32
3.961538461538461342e-01,3.955225406042300352e+32,8.372447991982934573e+31
4.192307692307691847e-01,6.048587025258238079e+32,9.578259780894205498e+31
4.423076923076922351e-01,3.778482293429888985e+32,6.512269672240720907e+31
4.653846153846153411e-01,4.977443697221869286e+32,1.021266845570491386e+32
4.884615384615383915e-01,3.312989431874322747e+32,6.102182016018120339e+31
5.115384615384614975e-01,3.681773259364669928e+32,9.862086009794852200e+31
5.346153846153846034e-01,4.921129843867665540e+32,1.025967773345620993e+32
5.576923076923077094e-01,6.511062317662988411e+32,1.009727892888844470e+32
5.807692307692308153e-01,1.253449559919334162e+33,2.418825161896266376e+32
6.038461538461538103e-01,6.661392421388273208e+32,1.160132787633133971e+32
6.269230769230769162e-01,1.462083799413636327e+33,3.032046575179867512e+32
6.500000000000000222e-01,7.997522161111295341e+32,1.727429423663950422e+32
6.730769230769230171e-01,5.163185350051330325e+32,1.007206686818370605e+32
6.961538461538461231e-01,2.771707927881238987e+32,3.903435653043268333e+31
7.192307692307692291e-01,5.418688268850725247e+32,1.106297113674467558e+32
7.423076923076923350e-01,7.248129982777602472e+32,1.266696120031455622e+32
7.653846153846153300e-01,1.722063772166625514e+33,3.970633893035421190e+32
7.884615384615384359e-01,3.800800526938604627e+32,9.415473383018435072e+31
8.115384615384615419e-01,7.975787897329567929e+32,9.383495804551814290e+31
8.346153846153845368e-01,1.526682033679063551e+33,2.701168332179194430e+32
8.576923076923076428e-01,1.950728288970881522e+33,3.598531708895436460e+32
8.807692307692307487e-01,2.761838217708893249e+33,5.903033500132667397e+32
9.038461538461538547e-01,2.253646618241768184e+33,5.133105507790325126e+32
9.269230769230768496e-01,4.582405736765281606e+33,9.323826596150385025e+32
9.499999999999999556e-01,5.831466931454500396e+33,1.217223104164019477e+33
