# T = 0.0861733
# ma = 106.0
# mb = 0.511
# m1 = 0.511
# m2 = 0.511
# m3 = 0
# pFa = 0.0
# pFb = 0.0
# pF1 = 0.0
# pF2 = 105.99876829001364
# mu_a = 106.0
# mu_b = 106.0
# mu_1 = 106.0
# mu_2 = 106.0
# neval = 1000000
# n = 10
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
0.000000000000000000e+00,3.988205575289451517e+06,4.096250601162482053e+04
2.435897435897435917e-02,4.299732213069945574e+06,4.455696152504529891e+04
4.871794871794871834e-02,5.663775107762716711e+06,6.104033386029380927e+04
7.307692307692308098e-02,7.502898139177884907e+06,8.190081849845737452e+04
9.743589743589743668e-02,9.512966796876765788e+06,1.030125572339528590e+05
1.217948717948717924e-01,1.154490954006799124e+07,1.187662127423351048e+05
1.461538461538461620e-01,1.429173415754474513e+07,1.648032200100563350e+05
1.705128205128205177e-01,1.661722742587546445e+07,1.800463435804017063e+05
1.948717948717948734e-01,1.908605281694808230e+07,2.062280703842820367e+05
2.192307692307692291e-01,2.197913442112279683e+07,2.470427751584540820e+05
2.435897435897435848e-01,2.504452852306873351e+07,2.702450467165873270e+05
2.679487179487179405e-01,2.930160613252878189e+07,3.275817336579318508e+05
2.923076923076923239e-01,3.132936869138685241e+07,3.331157967872173758e+05
3.166666666666666519e-01,3.646232378146032244e+07,4.051039745462278952e+05
3.410256410256410353e-01,4.079685183850135654e+07,4.676284982598178904e+05
3.653846153846153633e-01,4.573737711352042109e+07,5.676394897361561889e+05
3.897435897435897467e-01,5.251014626094853878e+07,6.301724992822756758e+05
4.141025641025641302e-01,5.804601386827800423e+07,7.082974963272833265e+05
4.384615384615384581e-01,6.745802153221796453e+07,9.100075953567994293e+05
4.628205128205128416e-01,7.587404533911946416e+07,1.009123524839367601e+06
4.871794871794871695e-01,8.499779496519902349e+07,1.151350715752071468e+06
5.115384615384614975e-01,9.898796068149352074e+07,1.507838021840398200e+06
5.358974358974358809e-01,1.103951863301207423e+08,1.549978335655696923e+06
5.602564102564102644e-01,1.292659423038482666e+08,2.137287962231824640e+06
5.846153846153846478e-01,1.476359918279141784e+08,2.214747772174502257e+06
6.089743589743590313e-01,1.738243567686717212e+08,2.755190616192291491e+06
6.333333333333333037e-01,2.028138516201283038e+08,3.394280284936182201e+06
6.576923076923076872e-01,2.445584746159940660e+08,4.097900517920873128e+06
6.820512820512820706e-01,2.878833130737633109e+08,5.432136265616868623e+06
7.064102564102564541e-01,3.621474173661825657e+08,7.527148409955655225e+06
7.307692307692307265e-01,4.442954165310106874e+08,9.609440062983158976e+06
7.551282051282051100e-01,5.606537641787916422e+08,1.292935044562553428e+07
7.794871794871794934e-01,7.055066857737246752e+08,1.823607007644220442e+07
8.038461538461538769e-01,9.859563986272864342e+08,2.669882540637450293e+07
8.282051282051282604e-01,1.219395225956113100e+09,3.649306968848297745e+07
8.525641025641025328e-01,1.735460874966030598e+09,5.693474202178277075e+07
8.769230769230769162e-01,2.711338706796071053e+09,9.966394244618642330e+07
9.012820512820512997e-01,3.944411738652065277e+09,1.770705224671110213e+08
9.256410256410256832e-01,6.558563851415124893e+09,3.827083677453811169e+08
9.499999999999999556e-01,1.561154758636861420e+10,1.124845587924825191e+09
