# T = 0.0861733
# ma = 106.0
# mb = 0.511
# m1 = 0.511
# m2 = 0.511
# m3 = 0
# pFa = 0.0
# pFb = 0.0
# pF1 = 0.0
# pF2 = 105.99876829001364
# mu_a = 106.0
# mu_b = 106.0
# mu_1 = 106.0
# mu_2 = 106.0
# neval = 10000000
# n = 10
# Columns:beta_F_mu,emissivity (ergs/cm^3/s),error
0.000000000000000000e+00,7.985506386194925755e+06,2.535001039912339547e+04
2.500000000000000139e-02,8.848794043455278501e+06,2.653851086848088380e+04
5.000000000000000278e-02,1.154862692027368397e+07,3.637363291333246161e+04
7.500000000000001110e-02,1.551148596768089384e+07,5.075211722103153443e+04
1.000000000000000056e-01,1.975714363084539399e+07,6.530216916443436639e+04
2.500000000000000000e-01,5.250188494100173563e+07,1.733837668784447887e+05
4.000000000000000222e-01,1.112802427118440270e+08,4.233024450837271870e+05
5.499999999999999334e-01,2.449986778405452967e+08,1.097378201444758102e+06
6.999999999999999556e-01,6.840058346245375872e+08,4.119721500446152408e+06
8.499999999999999778e-01,3.647574092905725479e+09,3.847738829182013869e+07
8.699999999999999956e-01,5.324542554137745857e+09,6.924293992931760848e+07
8.900000000000000133e-01,7.820926261136376381e+09,1.069437274874265045e+08
9.099999999999999201e-01,1.287162651086794281e+10,2.113349470732625723e+08
9.299999999999999378e-01,2.395875391031949234e+10,4.519982389054781795e+08
9.499999999999999556e-01,5.631839612785620880e+10,1.512820589942665339e+09
