# ma = 106.0
# mb = 0.511
# m1 = 0.511
# m2 = 0.511
# pFa = 162.00027388109442
# pFb = 162.00027388109442
# pF1 = 162.00027388109442
# pF2 = 193.5970754338753
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# beta_F_mu = 0.836788
# n = 10
# m3 = 0
# neval = 1000000
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,3.694253952570362584e-09,1.212932397774594441e-09
1.000000000000000021e-02,2.035488319825937140e-09,5.797952166980762609e-10
1.000000000000000021e-02,1.144393262602425868e-09,4.173418476139711552e-10
1.000000000000000056e-01,6.923303724477625209e+00,1.188198575747452912e+00
1.000000000000000056e-01,1.012315750331672071e+01,1.676885551109444705e+00
1.000000000000000056e-01,5.440557336078618356e+00,6.976821337793951416e-01
1.000000000000000000e+00,1.221467741237001896e+09,7.348618981837323308e+07
1.000000000000000000e+00,1.258741565563490152e+09,6.743893708445961773e+07
1.000000000000000000e+00,1.469526562286362410e+09,1.038169337139102519e+08
2.154434690031883814e+00,7.297053613453349609e+11,3.124793242526532364e+10
2.154434690031883814e+00,6.673546373151530762e+11,2.686551868852954102e+10
4.641588833612778409e+00,3.875101569558715625e+14,1.148345730341620117e+13
4.641588833612778409e+00,3.576059563851429375e+14,9.964510618665916016e+12
1.000000000000000000e+01,5.987675414866128640e+17,8.343032693421177600e+16
1.000000000000000000e+01,5.128206234889214720e+17,5.975302831754716800e+16
1.000000000000000000e+01,1.556964025132252672e+18,3.070311256454295680e+17
2.154434690031883193e+01,2.850514713249485056e+22,7.137431908373961376e+21
2.154434690031883193e+01,1.844336849768206775e+22,5.238749367013907366e+21
4.641588833612777165e+01,5.814494771694142774e+25,1.268039243296147666e+25
4.641588833612777165e+01,7.034606288922729112e+25,1.691694133943644112e+25
1.000000000000000000e+02,2.712152056716103385e+28,5.509316219335212952e+27
1.000000000000000000e+02,1.566469647160919716e+28,3.002763136753644021e+27
1.000000000000000000e+02,1.517283253659656812e+28,2.963399594413201285e+27
2.154434690031882269e+02,2.587079517597686475e+30,4.505091411216042032e+29
2.154434690031882269e+02,2.870617219595363702e+30,5.825341975010849252e+29
4.641588833612777307e+02,4.005078844896773430e+32,5.853761340327846427e+31
4.641588833612777307e+02,1.111464376532627894e+33,1.625493256729795093e+32
1.000000000000000000e+03,1.667612454585735288e+35,2.282562045792990724e+34
1.000000000000000000e+03,1.390262997980354858e+35,2.207737660635023683e+34
1.000000000000000000e+03,1.246685010197301560e+35,2.225804699593140503e+34
1.000000000000000000e+04,5.713537150587622124e+43,1.465659820655589291e+43
1.000000000000000000e+04,1.757821440939212295e+43,4.252189901566442142e+42
1.000000000000000000e+04,8.099925494138576968e+42,2.082313203263469066e+42
