# ma = 106.0
# mb = 0.511
# m1 = 0.511
# m2 = 0.511
# pFa = 162.00027388109442
# pFb = 162.00027388109442
# pF1 = 162.00027388109442
# pF2 = 193.5970754338753
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# beta_F_mu = 0.836788
# n = 10
# m3 = 0
# neval = 10000000
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,3.657392616450706968e-08,8.960988808652773586e-10
1.000000000000000056e-01,3.812488884426234570e+00,3.188617467028519170e-02
1.000000000000000000e+00,3.840581191725574732e+08,4.420263840161461383e+06
2.154434690031883814e+00,1.782000808928751221e+11,1.250003040184853315e+09
4.641588833612778409e+00,8.469312486204782812e+13,3.930283260981954956e+11
1.000000000000000000e+01,4.188202272699415200e+16,1.062955100117437344e+14
2.154434690031883193e+01,2.242336237184060621e+19,2.904230554513408000e+16
4.641588833612777165e+01,1.076906084331485869e+22,7.838123289283768320e+18
1.000000000000000000e+02,4.028835442831050009e+24,1.992440683551976063e+21
2.154434690031882269e+02,1.508932763493351302e+27,5.661507245250237191e+23
4.641588833612777307e+02,4.298194647457152524e+29,2.377619070718861952e+26
1.000000000000000000e+03,1.557968015054081878e+32,2.072854612728923790e+29
1.000000000000000000e+04,7.780183581847773535e+41,1.335905877471203446e+40
