# ma = 106.0
# mb = 0.511
# m1 = 0.511
# m2 = 0.511
# pFa = 162.00027388109442
# pFb = 162.00027388109442
# pF1 = 162.00027388109442
# pF2 = 193.5970754338753
# mu_a = 193.59774982563616
# mu_b = 193.59774982563616
# mu_1 = 193.59774982563616
# mu_2 = 193.59774982563616
# beta_F_mu = 0.836788
# n = 10
# m3 = 0
# neval = 50000000
# Columns:T / 10^9 K,emissivity (ergs/cm^3/s),error
1.000000000000000021e-02,1.074793315484343669e-07,9.783877070197806497e-09
1.000000000000000056e-01,1.417123262695764296e+01,4.972718549422981416e-01
1.000000000000000000e+00,1.501289337656350374e+09,1.671079831206769310e+07
2.154434690031883814e+00,7.369247598217216797e+11,5.350544113974279404e+09
4.641588833612778409e+00,3.804613181861086875e+14,1.575786531950284424e+12
1.000000000000000000e+01,5.237088187962153984e+18,9.717653808851119360e+17
2.154434690031883193e+01,2.568396948577093503e+24,4.678499499872386265e+23
4.641588833612777165e+01,4.820398813564521954e+27,1.014031645007425043e+27
1.000000000000000000e+02,2.996305583131640308e+29,4.673942698316130713e+28
2.154434690031882269e+02,8.661290020590212418e+31,1.343815249627083358e+31
4.641588833612777307e+02,2.904834897434938709e+34,5.436009791491508507e+33
1.000000000000000000e+03,1.230190568879357737e+36,1.547513384979716486e+35
1.000000000000000000e+04,5.113564083344947510e+44,8.965104376209017604e+43
